pert_id	inchikey	block1
BRD-K45479396	VUSNBQDZGKZEDL-UHFFFAOYSA-N	VUSNBQDZGKZEDL
BRD-K45480436	CJRLOTNMWBMMLN-LJGDZFJRSA-N	CJRLOTNMWBMMLN
BRD-K45485804	OPCBHRVVWMXJRO-LBVMUVSTSA-N	OPCBHRVVWMXJRO
BRD-K45494661	VKCFDPYGFDYBIC-AXHZCLLHSA-N	VKCFDPYGFDYBIC
BRD-K45495870	ARXXSDYOSSAWCH-JRGCBEDISA-N	ARXXSDYOSSAWCH
BRD-K45496021	UVJMALWFIRFJAR-SCTDSRPQSA-N	UVJMALWFIRFJAR
BRD-K45501379	FSAONXZLMNAVLZ-BUZLNKNLSA-N	FSAONXZLMNAVLZ
BRD-K45503887	CZGUSIXMZVURDU-FCWOTDAASA-N	CZGUSIXMZVURDU
BRD-K45505681	OCJLBMKFYCWBAV-UHFFFAOYSA-N	OCJLBMKFYCWBAV
BRD-K45515828	BUQVOPHSTBMFAQ-GLDPYIMESA-N	BUQVOPHSTBMFAQ
BRD-K45525014	QNTNHIANOHBUGN-KRXUUXHPSA-N	QNTNHIANOHBUGN
BRD-K45528773	MXWDSZWTBOCWBK-UHFFFAOYSA-N	MXWDSZWTBOCWBK
BRD-K45532244	OUKAGPBTRJAGIF-HBFSDRIKSA-N	OUKAGPBTRJAGIF
BRD-K45534781	MBOUMWGNLQBXQR-WTIAFYNJSA-N	MBOUMWGNLQBXQR
BRD-K45542189	RCKMWOKWVGPNJF-UHFFFAOYSA-N	RCKMWOKWVGPNJF
BRD-K45542213	FVKFHMNJTHKMRX-UHFFFAOYSA-N	FVKFHMNJTHKMRX
BRD-K45542432	KXTDYBDROYGOSG-SYZUXVNWSA-N	KXTDYBDROYGOSG
BRD-K45543414	UWMJOJNRDSZDAZ-KAPWWEBQSA-N	UWMJOJNRDSZDAZ
BRD-K45571747	UPHSEAQPRHOHRJ-XXAUWVGASA-N	UPHSEAQPRHOHRJ
