pert_id	pert_iname	pubchem_cid	stitch_chemical	ensp	gene_symbol	entrez	gene_idx	combined_score
BRD-K07667918	linsitinib	11640390	CIDs11640390	9606.ENSP00000428924	LYN	4067	695	153
BRD-K08327065	kanamycin	6032	CIDs00006032	9606.ENSP00000387699	CREB1	1385	454	153
BRD-K08554278	bisbenzimide	1464	CIDm00001464	9606.ENSP00000355231	BECN1	8678	624	153
BRD-K08554278	bisbenzimide	1464	CIDs00001464	9606.ENSP00000355231	BECN1	8678	624	153
BRD-K11636097	JNJ-7706621	5330790	CIDm05330790	9606.ENSP00000256443	CDK7	1022	701	153
BRD-K11636097	JNJ-7706621	5330790	CIDm05330790	9606.ENSP00000298048	MELK	9833	491	153
BRD-K11636097	JNJ-7706621	5330790	CIDs05330790	9606.ENSP00000256443	CDK7	1022	701	153
BRD-K11636097	JNJ-7706621	5330790	CIDs05330790	9606.ENSP00000298048	MELK	9833	491	153
BRD-K12184470	flunarizine	941361	CIDs00941361	9606.ENSP00000265171	EGF	1950	555	153
BRD-K13240564	crotamiton	688020	CIDs00688020	9606.ENSP00000364979	COL4A1	1282	711	153
BRD-K14880289	GW-501516	9803963	CIDm09803963	9606.ENSP00000269228	NPC1	4864	264	153
BRD-K14880289	GW-501516	9803963	CIDs09803963	9606.ENSP00000269228	NPC1	4864	264	153
BRD-K15600710	obatoclax	11404337	CIDs11404337	9606.ENSP00000307786	CYCS	54205	621	153
BRD-K17084514	diethylstilbestrol	448537	CIDs00448537	9606.ENSP00000226299	LAP3	51056	839	153
BRD-K17084514	diethylstilbestrol	448537	CIDs00448537	9606.ENSP00000264346	HERC6	55008	923	153
BRD-K17084514	diethylstilbestrol	448537	CIDs00448537	9606.ENSP00000348395	NPEPL1	79716	977	153
BRD-K17306061	aprepitant	151165	CIDm00151165	9606.ENSP00000217026	MYBL2	4605	135	153
BRD-K17306061	aprepitant	151165	CIDm00151165	9606.ENSP00000353452	MYLK	4638	247	153
BRD-K17743125	belinostat	6918638	CIDm06918638	9606.ENSP00000352516	DNMT1	1786	132	153
BRD-K17743125	belinostat	6918638	CIDs06918638	9606.ENSP00000352516	DNMT1	1786	132	153
BRD-K17796732	JWH-015	4273754	CIDm04273754	9606.ENSP00000290354	CBR3	874	522	153
BRD-K17796732	JWH-015	4273754	CIDs04273754	9606.ENSP00000290354	CBR3	874	522	153
BRD-K19669037	GGTI-298	9811606	CIDm09811606	9606.ENSP00000272444	DUSP11	8446	269	153
BRD-K19669037	GGTI-298	9811606	CIDs09811606	9606.ENSP00000272444	DUSP11	8446	269	153
BRD-K19706299	MRE-269	6918140	CIDs06918140	9606.ENSP00000387123	ALDH7A1	501	625	153
BRD-K22429181	retinol	445354	CIDs00445354	9606.ENSP00000245960	CDC25B	994	159	153
BRD-K22429181	retinol	445354	CIDs00445354	9606.ENSP00000303706	CDC25A	993	478	153
BRD-K22662435	ganciclovir	3454	CIDm00003454	9606.ENSP00000309572	TERT	7015	574	153
BRD-K22662435	ganciclovir	3454	CIDs00003454	9606.ENSP00000309572	TERT	7015	574	153
BRD-K24656285	farnesol	445070	CIDs00445070	9606.ENSP00000263274	LIG1	3978	275	153
BRD-K25741894	skimmianine	6760	CIDm00006760	9606.ENSP00000332979	BACE2	25825	830	153
BRD-K25741894	skimmianine	6760	CIDs00006760	9606.ENSP00000332979	BACE2	25825	830	153
BRD-K26015241	ODQ	1456	CIDm00001456	9606.ENSP00000380942	ARHGEF12	23365	85	153
