pert_id	pert_iname	gene_symbol	entrez	gene_idx	chembl	chembl_actions	chembl_direct	stitch_score	evidence
BRD-A04352665	maraviroc	MYBL2	4605	135	0		0	234	stitch
BRD-A04352665	maraviroc	HSPA4	3308	699	0		0	168	stitch
BRD-A04438777	SKF-82958	FOS	2353	642	0		0	837	stitch_high
BRD-A04438777	SKF-82958	CXCR4	7852	710	0		0	246	stitch
BRD-A04438777	SKF-82958	ADRB2	154	553	0		0	246	stitch
BRD-A04438777	SKF-82958	TBXA2R	6915	970	0		0	246	stitch
BRD-A05457250	BAY-K8644	PRKACA	5566	292	0		0	732	stitch_high
BRD-A05457250	BAY-K8644	PRKX	5613	440	0		0	646	stitch
BRD-A05457250	BAY-K8644	RFC5	5985	352	0		0	590	stitch
BRD-A05457250	BAY-K8644	TBXA2R	6915	970	0		0	448	stitch
BRD-A05457250	BAY-K8644	RFC2	5982	416	0		0	320	stitch
BRD-A05457250	BAY-K8644	FOS	2353	642	0		0	312	stitch
BRD-A05457250	BAY-K8644	MCUR1	63933	939	0		0	294	stitch
BRD-A05457250	BAY-K8644	ADRB2	154	553	0		0	236	stitch
BRD-A05457250	BAY-K8644	CXCR4	7852	710	0		0	236	stitch
BRD-A05457250	BAY-K8644	EDN1	1906	910	0		0	183	stitch
BRD-A05457250	BAY-K8644	SPDEF	25803	795	0		0	177	stitch
BRD-A05457250	BAY-K8644	PTGS2	5743	482	0		0	174	stitch
BRD-A05457250	BAY-K8644	RRP8	23378	346	0		0	170	stitch
BRD-A05457250	BAY-K8644	MEF2C	4208	590	0		0	157	stitch
BRD-A05874290	DL-TBOA	SLC1A4	6509	753	0		0	604	stitch
BRD-A05874290	DL-TBOA	HOOK2	29911	898	0		0	300	stitch
BRD-A07106394	tryptophan	CNDP2	55748	819	0		0	908	stitch_high
BRD-A07106394	tryptophan	PSMB10	5699	260	0		0	900	stitch_high
BRD-A07106394	tryptophan	PSMD2	5708	36	0		0	900	stitch_high
BRD-A07106394	tryptophan	PSME1	5720	33	0		0	900	stitch_high
BRD-A07106394	tryptophan	BLMH	642	197	0		0	900	stitch_high
BRD-A07106394	tryptophan	PSME2	5721	142	0		0	900	stitch_high
BRD-A07106394	tryptophan	PSMD10	5716	928	0		0	900	stitch_high
BRD-A07106394	tryptophan	PSMD9	5715	584	0		0	900	stitch_high
BRD-A07106394	tryptophan	MRPS16	51021	849	0		0	690	stitch
BRD-A07106394	tryptophan	ABCC5	10057	656	0		0	481	stitch
BRD-A07106394	tryptophan	PGRMC1	10857	63	0		0	464	stitch
BRD-A07106394	tryptophan	CLSTN1	22883	114	0		0	429	stitch
BRD-A07106394	tryptophan	MTHFD2	10797	141	0		0	264	stitch
BRD-A07106394	tryptophan	CAT	847	96	0		0	255	stitch
BRD-A07106394	tryptophan	CORO1A	11151	632	0		0	252	stitch
BRD-A07106394	tryptophan	LAP3	51056	839	0		0	236	stitch
BRD-A07106394	tryptophan	NPEPL1	79716	977	0		0	236	stitch
BRD-A07106394	tryptophan	PFKL	5211	62	0		0	230	stitch
