lincs_cell_id	assay_target	status	resolution_tier	assay_used	is_primary_assay	source_used	genome_build	identity_confidence	contamination_status	model_confidence_flag	sample_ids_used	sample_ids_dropped	notes
HME1	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg19	name_verified	clean		106053,106054,106055,106056,106057,106058,106059,106060,106061,106062,106063,106064		Cistrome sample ID(s): 106053,106054,106055,106056,106057,106058,106059,106060,106061,106062,106063,106064
HME1	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HME1	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HS27A	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		44900		Cistrome sample ID(s): 44900
HS27A	H3K27ac	resolved	imputed	H3K27ac	True	epimap	hg19	imputed	imputed_track	imputed_track (EpiMap predicted, not measured; biosample name-verified)	BSS00704		EpiMap imputed track, biosample BSS00704 [perturb=null, exact-name verified].
HS27A	H3K27me3	resolved	imputed	H3K27me3	True	epimap	hg19	imputed	imputed_track	imputed_track (EpiMap predicted, not measured; biosample name-verified)	BSS00704		EpiMap imputed track, biosample BSS00704 [perturb=null, exact-name verified].
HS578T	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HS578T	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HS578T	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HT115	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HT115	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HT115	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HT29	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		78449		Cistrome sample ID(s): 78449
HT29	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		43640,61966,62025,62026,62027,62028,62029,62030,62031,62032,62033,62034		Cistrome sample ID(s): 43640,61966,62025,62026,62027,62028,62029,62030,62031,62032,62033,62034
HT29	H3K27me3	resolved	imputed	H3K27me3	True	epimap	hg19	imputed	imputed_track	imputed_track (EpiMap predicted, not measured; biosample name-verified)	BSS00708		EpiMap imputed track, biosample BSS00708 [perturb=null, exact-name verified].
