cell_line	mark	total_ids_checked	dominant_cvcl_raw_count	dominant_count	corrected_dominant_cvcl	corrected_dominant_score	all_distinct_cvcl_accessions	contaminating_extra_cvcl	classification	evidence	needs_overseer_decision
MDAMB231	ATAC-seq	16	CVCL:0062	16	CVCL:0062	13.051	['CVCL:0062', 'CVCL:L524']	['Hybridoma 231 (CVCL:L524)']	METADATA_ARTIFACT	Hybridoma 231 (CVCL:L524): Hybridoma (antibody-source conflation)	False
MDAMB231	H3K27ac	22	CVCL:0062	22	CVCL:0062	18.691	['CVCL:0031', 'CVCL:0062', 'CVCL:L524']	['Hybridoma 231 (CVCL:L524)', 'MCF-7 (CVCL:0031)']	GENUINE_CONTAMINATION	MCF-7 (CVCL:0031) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0062; score 0.997 vs dominant 18.691; Hybridoma 231 (CVCL:L524): Hybridoma (antibody-source conflation)	True
MDAMB231	H3K27me3	18	CVCL:0062	18	CVCL:0062	17.364	['CVCL:0031', 'CVCL:0062', 'CVCL:L524']	['Hybridoma 231 (CVCL:L524)', 'MCF-7 (CVCL:0031)']	GENUINE_CONTAMINATION	MCF-7 (CVCL:0031) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0062; score 0.948 vs dominant 17.364; Hybridoma 231 (CVCL:L524): Hybridoma (antibody-source conflation)	True
NEU	ATAC-seq	2	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
NPC	H3K27ac	6	CVCL:9771	5	CVCL:9771	3.99	['CVCL:7047', 'CVCL:7084', 'CVCL:9771']	['NPC/HK1 (CVCL:7084)', 'HK-1 (CVCL:7047)']	GENUINE_CONTAMINATION	NPC/HK1 (CVCL:7084) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:9771; score 0.972 vs dominant 3.99; HK-1 (CVCL:7047) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:9771; score 0.951 vs dominant 3.99	True
NPC	H3K27me3	4	CVCL:9771	4	CVCL:9771	3.192	['CVCL:9771']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
PHH	H3K27me3	2	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
RKO	ATAC-seq	1	CVCL:0504	1	CVCL:0504	0.951	['CVCL:0504']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
RKO	H3K27ac	1	CVCL:0504	1	CVCL:0504	0.951	['CVCL:0504']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
RMGI	H3K27ac	3	CVCL:1662	3	CVCL:1662	2.826	['CVCL:1662']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
