lincs_cell_id	mark	source_used	genome_build	notes
LNCAP	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 2201,2202,34325,34328,39738,70757,70758,76143,76144,84175,84179,84180,90915,92449,93914,94709,105664,105665
LOVO	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 78500
LOVO	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 66756
LOVO	H3K27me3	epimap	hg19	EpiMap imputed track, biosample ID: BSS01179 [perturb=null confirmed]
MCF10A	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 79427,79428,79429,79430,106852,106853,106854,106855,106856,106857,106858,106859,106860,106861,106862,106863,106864,106865,106866,106867,106868,106869,106870,106871
MCF10A	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 58594,66273,66274,66493,66494,81964,81965,82209,82210,82229,82231,82232,84832,84833,84834,84835,84836,86068,86069,86070,86071,86072,86073,86074,86075,86076,86077,86327,86328,86332,86333,105307,105309,108302
MCF10A	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 48604,68301,68302,71100,71101,82211,82212,82223,82224,82225,82226,82227,82228,82230,84304,86569
MCF7	ATAC-seq	encode	GRCh38	ENCODE Experiment(s): ENCSR422SUG
MCF7	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR000EWR,ENCSR752UOD
MCF7	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR000EWP,ENCSR761DLU
MCH58	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
MCH58	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
MCH58	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
MDAMB231	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 61703,61704,61705,61706,61707,61708,61709,61710,61711,65717,65718,65719,78266,78268,104662,104663
MDAMB231	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 41929,41930,54186,54187,61913,61914,61915,61916,61917,61918,62022,84597,84598,103364,103365,103366,103367,103368,103369,103370,103371,103372
MDAMB231	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 54404,54407,68293,68294,69503,69504,69505,69506,69507,69508,69509,69510,71094,71095,82160,82161,88659,88660
