pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	11	ALDOA,APP,CALU,EGF,PDGFA,PROS1,SCCPDH,SERPINE1,STX4,STXBP2,TGFB3
R-HSA-76009	Platelet Aggregation (Plug Formation)	9	AKT1,COL1A1,CRK,CSK,PTK2,PTPN1,SHC1,SRC,SYK
R-HSA-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	8	CCNH,CDK7,GTF2A2,GTF2E2,MNAT1,POLR2I,POLR2K,TBP
R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	6	CCNH,CDK7,MNAT1,POLR2I,POLR2K,RNMT
R-HSA-77387	Insulin receptor recycling	6	ATP6V0B,ATP6V1D,CTSD,IDE,PTPN1,PTPRF
R-HSA-877300	Interferon gamma signaling	8	CD44,HLA-DRA,ICAM1,PRKCD,PTPN1,PTPN6,STAT1,TRIM2
R-HSA-8848021	Signaling by PTK6	19	AKT1,CCND1,CDK2,CDK4,CDKN1B,CRK,EGF,EGFR,ERBB2,ERBB3,HIF1A,NR3C1,NRAS,PTPN1,PXN,RASA1,RHOA,STAP2,STAT3
R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	5	CRK,NRAS,PXN,RASA1,RHOA
R-HSA-8852135	Protein ubiquitination	6	PAF1,PCNA,RRAGA,UBE2A,UBE2C,USP7
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	8	CCNB1,CCNB2,CDK1,CDKN1A,PLK1,PSMD2,TP53,TUBB6
R-HSA-8853659	RET signaling	9	FRS2,GRB10,GRB7,PIK3CA,PIK3R3,PRKACA,RAP1GAP,SHC1,SRC
R-HSA-8854518	AURKA Activation by TPX2	9	AURKA,CCP110,CDK1,CEP57,CSNK1E,PAFAH1B1,PCM1,PLK1,PRKACA
R-HSA-8856688	Golgi-to-ER retrograde transport	12	CENPE,COPB2,KDELR2,KIF20A,KIF2C,KIF5C,PAFAH1B1,PAFAH1B3,PLA2G4A,TMED10,TUBB6,ZW10
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	11	ADRB2,CLTB,CLTC,COPS7A,EGF,EGFR,EPN2,FCHO1,IGF2R,TOR1A,UBQLN2
R-HSA-8856828	Clathrin-mediated endocytosis	15	ADRB2,CLTB,CLTC,COPS7A,CTTN,DNM1,EGF,EGFR,EPN2,FCHO1,HSPA8,IGF2R,PACSIN3,TOR1A,UBQLN2
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	8	APP,CAPN1,CAST,CDC25A,CDC25B,CDK5R1,FOXO3,JUN
R-HSA-8863678	Neurodegenerative Diseases	8	APP,CAPN1,CAST,CDC25A,CDC25B,CDK5R1,FOXO3,JUN
R-HSA-8863795	Downregulation of ERBB2 signaling	7	AKT1,EGF,EGFR,ERBB2,ERBB3,PTPN12,STUB1
R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	10	APOE,CDKN1A,EGFR,ERBB2,HSPD1,KDM5B,KIT,MYBL2,MYC,TFAP2A
R-HSA-8868773	rRNA processing in the nucleus and cytosol	10	CSNK1E,EBNA1BP2,EXOSC4,HEATR1,RPL39L,RPP38,RPS5,RPS6,TEX10,UTP14A
R-HSA-8875878	MET promotes cell motility	6	COL1A1,CRK,CRKL,LAMA3,PTK2,SRC
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	7	AKT1,DENND2D,RAB21,RAB27A,RAB31,TRAPPC3,TRAPPC6A
R-HSA-8878159	Transcriptional regulation by RUNX3	13	CCND1,CDKN1A,CDKN2A,FOXO3,HES1,MAMLD1,MYC,NOTCH1,PSMD2,SMAD3,SPP1,SRC,TP53
R-HSA-8878166	Transcriptional regulation by RUNX2	19	ABL1,AKT1,BAX,CCNB1,CCND1,CDK1,CDK4,CDKN1A,COL1A1,GLI2,HDAC6,HES1,NR3C1,PSMD2,RB1,SKP1,SRC,STAT1,STUB1
R-HSA-8878171	Transcriptional regulation by RUNX1	20	ABL1,AXIN1,CCND1,CCND3,CCNH,CDK6,CDK7,CSNK2A2,CTSL,GATA2,GATA3,MNAT1,MYL9,PRKCQ,PSMD2,SMARCA4,SMARCC1,SMARCD2,SRC,TJP1
R-HSA-8939211	ESR-mediated signaling	36	AKT1,AXIN1,BCL2,CCND1,CDKN1B,CREB1,CTSD,EGF,EGFR,FKBP4,FOS,FOXO3,GATA3,GNAI1,GNAI2,GNB5,GTF2A2,HSPB1,IGF1R,JUN,MMP2,MYC,NCOA3,NOS3,NRAS,NRIP1,PIK3CA,PIK3R3,POLR2I,POLR2K,PTK2,SHC1,SMC1A,SMC3,SRC,TBP
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	7	ABL1,CCNH,CDK7,GATA2,GATA3,MNAT1,PSMD2
R-HSA-8939902	Regulation of RUNX2 expression and activity	5	NR3C1,PSMD2,SKP1,STAT1,STUB1
R-HSA-8940973	RUNX2 regulates osteoblast differentiation	6	ABL1,COL1A1,HDAC6,HES1,RB1,SRC
R-HSA-8941326	RUNX2 regulates bone development	7	ABL1,COL1A1,GLI2,HDAC6,HES1,RB1,SRC
R-HSA-8943724	Regulation of PTEN gene transcription	11	EED,EGR1,EZH2,HDAC2,JUN,MTA1,PPARG,RHEB,RRAGA,SUZ12,TP53
R-HSA-8951664	Neddylation	22	BIRC5,BRCA1,CCNF,CDKN1A,COPS7A,DCUN1D4,DDB2,FBXL12,FBXO11,FBXO21,FBXO7,HIF1A,KEAP1,KLHL21,KLHL9,LRRC41,NFE2L2,PSMD2,SKP1,SOCS2,SQSTM1,WDTC1
R-HSA-8953750	Transcriptional Regulation by E2F6	6	BRCA1,CHEK1,EED,EZH2,SUZ12,TFDP1
R-HSA-8953854	Metabolism of RNA	60	ADAT1,AKT1,CASC3,CCNH,CD44,CDK7,CHERP,CNOT4,CPSF4,CSNK1E,DDX42,EBNA1BP2,EIF4G1,ELAC2,ELAVL1,EXOSC4,FASTKD5,HEATR1,HSD17B10,HSPA1A,HSPA8,HSPB1,HTATSF1,IGF2BP2,LAGE3,LSM5,LSM6,MAPKAPK2,MNAT1,MTERF3,MYC,NGRN,NUP133,NUP62,NUP85,NUP88,NUP93,PAN2,POLR2I,POLR2K,POP4,PPIE,PRKCD,PRPF4,PSMD2,PUF60,RAE1,RNMT,RNPS1,RPL39L,RPP38,RPS5,RPS6,SMNDC1,SUPV3L1,TCERG1,TEX10,TSEN2,UTP14A,ZFP36
R-HSA-8957275	Post-translational protein phosphorylation	11	ADAM10,APOE,APP,BMP4,CALU,IGFBP3,KTN1,MBTPS1,PRSS23,SPP1,WFS1
R-HSA-8957322	Metabolism of steroids	13	ACAT2,EBP,ELOVL6,FDFT1,HMGCR,HMGCS1,HSD17B11,INSIG1,LBR,LGMN,MBTPS1,NSDHL,SCP2
R-HSA-8964043	Plasma lipoprotein clearance	7	APOE,CLTC,LIPA,LSR,NPC1,NR1H2,SCARB1
R-HSA-8978868	Fatty acid metabolism	17	ACAA1,ACLY,ACOT9,CBR1,DECR1,ELOVL6,HACD3,HADH,MAPKAPK2,PCCB,PECR,PLA2G4A,PPARD,PRKAG2,PTGS2,SCP2,SLC27A3
R-HSA-8980692	RHOA GTPase cycle	13	ARHGAP1,ARHGEF12,ARHGEF2,IQGAP1,KTN1,LBR,NET1,RHOA,STK10,TIAM1,VAPB,VAV3,YKT6
R-HSA-8982491	Glycogen metabolism	7	AGL,GAA,PGM1,PHKA1,PHKB,PHKG2,PYGL
R-HSA-8986944	Transcriptional Regulation by MECP2	10	AURKB,CREB1,HDAC2,LBR,MEF2C,NOTCH1,PPARG,PRKACA,PTPN1,SOX2
R-HSA-9006115	Signaling by NTRK2 (TRKB)	8	CDK5R1,FRS2,FYN,NRAS,PIK3CA,SHC1,SRC,TIAM1
R-HSA-9006335	Signaling by Erythropoietin	6	CRKL,LYN,NRAS,PIK3CA,SHC1,STAT5B
R-HSA-9006925	Intracellular signaling by second messengers	44	AKT1,BAD,CDKN1A,CDKN1B,CREB1,CSNK2A2,EED,EGF,EGFR,EGR1,ERBB2,ERBB3,EZH2,FGFR2,FGFR4,FOXO3,FOXO4,FRS2,FYN,HDAC2,IER3,JUN,KIT,MTA1,PDGFA,PIK3CA,PIK3R3,PIP4K2B,PPARG,PPP2R5A,PPP2R5E,PRKACA,PRKCD,PRKX,PSMD2,RAC2,RHEB,RRAGA,SRC,STUB1,SUZ12,TP53,TRIB3,USP7
R-HSA-9006927	Signaling by Non-Receptor Tyrosine Kinases	19	AKT1,CCND1,CDK2,CDK4,CDKN1B,CRK,EGF,EGFR,ERBB2,ERBB3,HIF1A,NR3C1,NRAS,PTPN1,PXN,RASA1,RHOA,STAP2,STAT3
R-HSA-9006931	Signaling by Nuclear Receptors	43	AKT1,APOE,ARL4C,AXIN1,BCL2,CCND1,CDKN1B,CREB1,CTSD,DLD,EGF,EGFR,FKBP4,FOS,FOXO3,GATA3,GNAI1,GNAI2,GNB5,GTF2A2,HSPB1,IGF1R,JUN,KDM3A,MMP2,MYC,NCOA3,NOS3,NR1H2,NRAS,NRIP1,PDHX,PIK3CA,PIK3R3,POLR2I,POLR2K,PPARD,PTK2,SHC1,SMC1A,SMC3,SRC,TBP
R-HSA-9006936	Signaling by TGFB family members	14	BAMBI,DRAP1,ITGB5,MYC,PARP1,RHOA,SERPINE1,SMAD3,STAT1,STUB1,TFDP1,TGFB3,TGFBR2,TIMP2
R-HSA-9007101	Rab regulation of trafficking	8	AKT1,DENND2D,RAB21,RAB27A,RAB31,RAB4A,TRAPPC3,TRAPPC6A
R-HSA-9009391	Extra-nuclear estrogen signaling	22	AKT1,BCL2,CCND1,CDKN1B,CREB1,EGF,EGFR,FOS,FOXO3,GNAI1,GNAI2,GNB5,HSPB1,IGF1R,MMP2,NOS3,NRAS,PIK3CA,PIK3R3,PTK2,SHC1,SRC
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	8	CASC3,DAG1,EIF4G1,PSMD2,RNPS1,RPL39L,RPS5,RPS6
R-HSA-9012852	Signaling by NOTCH3	8	ADAM10,EGF,EGFR,HES1,IKZF1,MAMLD1,NOTCH1,STAT1
R-HSA-9012999	RHO GTPase cycle	38	ARHGAP1,ARHGEF12,ARHGEF2,CCP110,CDC42,CHN1,CLTC,CSK,DSG2,FRS2,GFOD1,GRB7,IQGAP1,KIF14,KTN1,LBR,NCK1,NCK2,NET1,NISCH,PAK1,PAK4,PAK6,PIK3CA,PIK3R3,PTK2B,RAC2,RHOA,SPEN,SPTAN1,SRC,STK10,TIAM1,VAPB,VAV3,WASF3,WIPF2,YKT6
R-HSA-9013026	RHOB GTPase cycle	5	ARHGAP1,ARHGEF12,ARHGEF2,NET1,STK10
R-HSA-9013106	RHOC GTPase cycle	7	ARHGAP1,ARHGEF12,IQGAP1,LBR,RHOA,STK10,VAPB
R-HSA-9013148	CDC42 GTPase cycle	14	ARHGAP1,ARHGEF12,CDC42,CHN1,IQGAP1,KTN1,LBR,PAK1,PAK4,PAK6,TIAM1,VAV3,WIPF2,YKT6
R-HSA-9013149	RAC1 GTPase cycle	17	ARHGAP1,CDC42,CHN1,IQGAP1,KTN1,LBR,NISCH,PAK1,PAK4,PAK6,PIK3CA,PIK3R3,TIAM1,VAV3,WASF3,WIPF2,YKT6
R-HSA-9013404	RAC2 GTPase cycle	13	ARHGAP1,CDC42,DSG2,IQGAP1,LBR,PAK1,PAK4,PIK3CA,PIK3R3,RAC2,TIAM1,VAPB,VAV3
R-HSA-9013406	RHOQ GTPase cycle	6	ARHGAP1,CDC42,GFOD1,IQGAP1,PAK1,PAK4
R-HSA-9013408	RHOG GTPase cycle	9	ARHGAP1,CDC42,DSG2,KTN1,LBR,PAK4,VAPB,VAV3,YKT6
R-HSA-9013409	RHOJ GTPase cycle	5	ARHGAP1,CDC42,PAK1,PAK4,WIPF2
R-HSA-9013420	RHOU GTPase cycle	10	CDC42,CLTC,IQGAP1,NCK1,NCK2,PAK1,PAK4,PTK2B,SPTAN1,SRC
R-HSA-9013423	RAC3 GTPase cycle	8	ARHGAP1,CDC42,DSG2,LBR,PAK1,PAK4,TIAM1,YKT6
R-HSA-9013424	RHOV GTPase cycle	10	CCP110,CDC42,CLTC,IQGAP1,NCK1,NCK2,PAK1,PAK4,PAK6,SPTAN1
R-HSA-9013508	NOTCH3 Intracellular Domain Regulates Transcription	5	HES1,IKZF1,MAMLD1,NOTCH1,STAT1
R-HSA-9013694	Signaling by NOTCH4	8	ADAM10,AKT1,HES1,MAMLD1,NOTCH1,PSMD2,SKP1,SMAD3
R-HSA-9018519	Estrogen-dependent gene expression	17	AXIN1,BCL2,CCND1,CTSD,FKBP4,FOS,GATA3,GTF2A2,JUN,MYC,NCOA3,NRIP1,POLR2I,POLR2K,SMC1A,SMC3,TBP
R-HSA-9020702	Interleukin-1 signaling	11	APP,IKBKB,IL1B,NFKB2,NFKBIA,NFKBIB,PSMD2,SKP1,SQSTM1,TP53,USP14
R-HSA-9022692	Regulation of MECP2 expression and activity	5	AURKB,CREB1,HDAC2,LBR,PRKACA
R-HSA-9024446	NR1H2 and NR1H3-mediated signaling	5	APOE,ARL4C,KDM3A,NR1H2,NRIP1
R-HSA-9031628	NGF-stimulated transcription	8	ATF1,CDK5R1,CREB1,EGR1,FOS,FOSL1,ID2,TRIB1
R-HSA-9033241	Peroxisomal protein import	6	ACAA1,CAT,ECH1,IDE,PECR,SCP2
R-HSA-9034015	Signaling by NTRK3 (TRKC)	5	BAX,NRAS,PIK3CA,SHC1,SRC
R-HSA-909733	Interferon alpha/beta signaling	6	EGR1,IFNAR1,PSMB8,PTPN1,PTPN6,STAT1
R-HSA-912446	Meiotic recombination	7	BRCA1,CDK2,CDK4,RAD51C,RPA1,RPA2,RPA3
R-HSA-912631	Regulation of signaling by CBL	7	CRK,CRKL,FYN,LYN,PIK3CA,PIK3R3,SYK
R-HSA-913531	Interferon Signaling	33	ATF6,BECN1,CD44,CDK1,EGR1,EIF4G1,HLA-DRA,HSPA1A,HSPA8,ICAM1,IFNAR1,IKBKB,NCK1,NUP133,NUP62,NUP85,NUP88,NUP93,PIN1,PPP2R5A,PRKCD,PSMB8,PTPN1,PTPN6,RAE1,SFN,SNCA,STAT1,STAT3,TP53,TRIM2,TUBB6,UBE2L6
R-HSA-917937	Iron uptake and transport	6	ATP6V0B,ATP6V1D,HMOX1,MCOLN1,SKP1,SLC11A2
R-HSA-927802	Nonsense-Mediated Decay (NMD)	6	CASC3,EIF4G1,RNPS1,RPL39L,RPS5,RPS6
R-HSA-933542	TRAF6 mediated NF-kB activation	5	APP,IKBKB,NFKB2,NFKBIA,NFKBIB
R-HSA-937061	TRIF (TICAM1)-mediated TLR4 signaling	24	APP,ATF1,BIRC2,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,IKBKE,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TICAM1,TLR4,TP53,USP14
R-HSA-948021	Transport to the Golgi and subsequent modification	11	COG2,COG4,COG7,COPB2,KDELR2,SPTAN1,TMED10,TRAPPC3,TRAPPC6A,TUBB6,YKT6
R-HSA-9607240	FLT3 Signaling	11	AKT1,CDKN1B,CSK,FOXO3,FYN,GRB10,NRAS,PIK3CA,SOCS2,STAT5B,SYK
R-HSA-9609507	Protein localization	18	ACAA1,APP,CAT,ECH1,FIS1,HMOX1,HSPD1,IDE,PECR,PXMP2,SCP2,SLC25A13,SLC25A4,STX1A,TIMM17B,TIMM22,TIMM9,VDAC1
R-HSA-9609646	HCMV Infection	17	CEBPD,CHMP4A,CHMP6,CREB1,DAXX,EED,EGFR,EZH2,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,SUZ12,TUBB6,VPS28
R-HSA-9609690	HCMV Early Events	13	CREB1,DAXX,EED,EGFR,EZH2,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,SUZ12,TUBB6
R-HSA-9610379	HCMV Late Events	10	CEBPD,CHMP4A,CHMP6,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,VPS28
R-HSA-9612973	Autophagy	18	ATG3,BECN1,CHMP4A,CHMP6,CSNK2A2,HDAC6,HSPA8,MTERF3,PIK3C3,PIK3R4,PRKAG2,RHEB,RRAGA,SQSTM1,SRC,TUBB6,VDAC1,VPS28
R-HSA-9614085	FOXO-mediated transcription	12	AKT1,CAT,CDKN1A,CDKN1B,FOXO3,FOXO4,GADD45A,HDAC2,NR3C1,SFN,SIRT3,SMAD3
R-HSA-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	7	CAT,FOXO3,FOXO4,HDAC2,NR3C1,SIRT3,SMAD3
R-HSA-9615710	Late endosomal microautophagy	5	CHMP4A,CHMP6,HDAC6,HSPA8,VPS28
R-HSA-9616222	Transcriptional regulation of granulopoiesis	9	CDK2,CDK4,CDKN1A,CEBPA,CREB1,GATA2,MYC,STAT3,TFDP1
R-HSA-9617828	FOXO-mediated transcription of cell cycle genes	6	CDKN1A,CDKN1B,FOXO3,FOXO4,GADD45A,SMAD3
R-HSA-9634597	GPER1 signaling	8	GNAI1,GNAI2,GNAS,GNB5,GPER1,PRKACA,SHC1,SRC
R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	10	AKT1,BCL2,CCND1,CDKN1B,CREB1,EGF,EGFR,FOS,FOXO3,PTK2
R-HSA-9639288	Amino acids regulate mTORC1	6	ATP6V0B,ATP6V1D,NPRL2,RHEB,RRAGA,SESN1
R-HSA-9645723	Diseases of programmed cell death	15	APP,CAPN1,CAST,CDC25A,CDC25B,CDK5R1,CDKN2A,DNMT1,DNMT3A,EED,EZH2,FOXO3,JUN,SUZ12,TP53
R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	14	AURKB,BIRC5,BUB1B,CDC20,CENPE,KIF2C,NUP133,NUP85,PAFAH1B1,PLK1,PPP2R5A,PPP2R5E,TUBB6,ZW10
R-HSA-9658195	Leishmania infection	27	ABL1,APP,BTK,CDC42,CREB1,CRK,FYN,FZD7,GNAI1,GNAI2,GNAS,GNB5,HMOX1,IL1B,JUN,LYN,MYO10,NCK1,NFKB2,PRKACA,PRKX,PTK2,SRC,SYK,VAV3,WASF3,WIPF2
R-HSA-9659379	Sensory processing of sound	6	CASK,PLS1,SNAP25,SPTAN1,STX1A,TWF2
R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	11	CCND1,CCND3,CCNE2,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,E2F2,RB1,TFDP1
R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	7	CREB1,GNAI1,GNAI2,GNAS,GNB5,PRKACA,PRKX
R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	11	CCND1,CCND3,CCNE2,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,E2F2,RB1,TFDP1
R-HSA-9662360	Sensory processing of sound by inner hair cells of the cochlea	6	CASK,PLS1,SNAP25,SPTAN1,STX1A,TWF2
R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	11	CREB1,FYN,GNAI1,GNAI2,GNAS,GNB5,LYN,PRKACA,PRKX,SRC,SYK
R-HSA-9663891	Selective autophagy	9	CSNK2A2,HDAC6,HSPA8,MTERF3,PRKAG2,SQSTM1,SRC,TUBB6,VDAC1
R-HSA-9664323	FCGR3A-mediated IL10 synthesis	7	CREB1,FYN,LYN,PRKACA,PRKX,SRC,SYK
R-HSA-9664407	Parasite infection	14	ABL1,BTK,CDC42,CRK,FYN,LYN,MYO10,NCK1,PTK2,SRC,SYK,VAV3,WASF3,WIPF2
R-HSA-9664417	Leishmania phagocytosis	14	ABL1,BTK,CDC42,CRK,FYN,LYN,MYO10,NCK1,PTK2,SRC,SYK,VAV3,WASF3,WIPF2
R-HSA-9664422	FCGR3A-mediated phagocytosis	14	ABL1,BTK,CDC42,CRK,FYN,LYN,MYO10,NCK1,PTK2,SRC,SYK,VAV3,WASF3,WIPF2
R-HSA-9664433	Leishmania parasite growth and survival	11	CREB1,FYN,GNAI1,GNAI2,GNAS,GNB5,LYN,PRKACA,PRKX,SRC,SYK
R-HSA-9664565	Signaling by ERBB2 KD Mutants	7	EGF,EGFR,ERBB2,ERBB3,NRAS,PIK3CA,SHC1
R-HSA-9665348	Signaling by ERBB2 ECD mutants	6	EGF,EGFR,ERBB2,NRAS,PIK3CA,SHC1
R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	6	EGF,EGFR,ERBB2,ERBB3,NRAS,SHC1
R-HSA-9669938	Signaling by KIT in disease	10	FYN,KIT,LYN,NRAS,PIK3CA,PIK3R3,SRC,STAT1,STAT3,STAT5B
R-HSA-9670095	Inhibition of DNA recombination at telomere	5	ACD,DAXX,POLR2I,POLR2K,TERF2IP
R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	10	FYN,KIT,LYN,NRAS,PIK3CA,PIK3R3,SRC,STAT1,STAT3,STAT5B
R-HSA-9674555	Signaling by CSF3 (G-CSF)	6	LYN,SHC1,STAT1,STAT3,STAT5B,SYK
R-HSA-9675108	Nervous system development	60	ABL1,ADAM10,ARHGEF12,CASC3,CDC42,CDK5R1,CLTB,CLTC,COL4A1,CREB1,CSNK2A2,CXCR4,DAG1,DNM1,EGFR,EIF4G1,EPHA3,EPHB2,ERBB2,EVL,FRS2,FYN,GPC1,GRB10,GRB7,HDAC2,HMGCR,HSPA8,LYN,MMP2,MYL9,MYO10,NCK1,NCK2,NRAS,PAK1,PAK4,PAK6,PIK3CA,PIK3R3,PRKACA,PRKCQ,PSMD2,PTK2,PTPRC,RAP1GAP,RASA1,RHOA,RNPS1,RPL39L,RPS5,RPS6,RPS6KA1,SHC1,SMARCA4,SPTAN1,SRC,TIAM1,TUBB6,VAV3
R-HSA-9675126	Diseases of mitotic cell cycle	13	CCND1,CCND3,CCNE2,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,DAXX,E2F2,RB1,TFDP1,UBE2C
R-HSA-9675135	Diseases of DNA repair	10	BRCA1,MSH6,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TOPBP1
R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	9	BRCA1,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TOPBP1
R-HSA-9678108	SARS-CoV-1 Infection	15	BECN1,CHMP4A,CHMP6,CTSL,IKBKE,NFKBIA,PIK3C3,PIK3R4,RB1,RPS5,RPS6,SERPINE1,SFN,SMAD3,ST6GALNAC2
R-HSA-9679191	Potential therapeutics for SARS	13	ARID4B,ATP1B1,BTK,FKBP4,HDAC2,HMG20B,IFNAR1,KEAP1,MTA1,NCK1,NFE2L2,NR3C1,SYK
R-HSA-9679504	Translation of Replicase and Assembly of the Replication Transcription Complex_9679504	5	BECN1,CHMP4A,CHMP6,PIK3C3,PIK3R4
R-HSA-9679506	SARS-CoV Infections	44	AKT1,ANO10,ARID4B,ATP1B1,BECN1,BTK,CHMP4A,CHMP6,CSNK1A1,CTSL,FKBP4,G3BP1,GPC1,HDAC2,HMG20B,IFNAR1,IKBKB,IKBKE,KEAP1,MTA1,NCK1,NFE2L2,NFKBIA,NR3C1,NUP133,NUP62,NUP85,NUP88,NUP93,PIK3C3,PIK3R4,PTPN6,RAE1,RB1,RPN1,RPS5,RPS6,SERPINE1,SFN,SMAD3,ST6GALNAC2,STAT1,SYK,TJP1
R-HSA-9680350	Signaling by CSF1 (M-CSF) in myeloid cells	7	FYN,LYN,PIK3CA,SHC1,SRC,STAT1,STAT3
R-HSA-9682385	FLT3 signaling in disease	5	CDKN1A,NRAS,PIK3CA,STAT5B,ZMYM2
R-HSA-9687139	Aberrant regulation of mitotic cell cycle due to RB1 defects	12	CCND1,CCND3,CCNE2,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,E2F2,RB1,TFDP1,UBE2C
R-HSA-9692914	SARS-CoV-1-host interactions	7	IKBKE,NFKBIA,RPS5,RPS6,SERPINE1,SFN,SMAD3
R-HSA-9694516	SARS-CoV-2 Infection	29	AKT1,ANO10,BECN1,CHMP4A,CHMP6,CSNK1A1,CTSL,G3BP1,GPC1,IFNAR1,IKBKB,IKBKE,NUP133,NUP62,NUP85,NUP88,NUP93,PIK3C3,PIK3R4,PTPN6,RAE1,RB1,RPN1,RPS5,RPS6,SFN,ST6GALNAC2,STAT1,TJP1
R-HSA-9694676	Translation of Replicase and Assembly of the Replication Transcription Complex_9694676	5	BECN1,CHMP4A,CHMP6,PIK3C3,PIK3R4
R-HSA-9696270	RND2 GTPase cycle	5	ARHGAP1,FRS2,KIF14,KTN1,NISCH
R-HSA-9700206	Signaling by ALK in cancer	18	CCNB1,CDKN1A,CLTC,DNMT1,FRS2,JUN,MAPK9,NOTCH1,PIK3CA,PTPN6,RB1,RPS6,SHC1,SKP1,SQSTM1,STAT1,STAT3,TP53
R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	9	BRCA1,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TOPBP1
R-HSA-9703465	Signaling by FLT3 fusion proteins	5	CDKN1A,NRAS,PIK3CA,STAT5B,ZMYM2
R-HSA-9705462	Inactivation of CSF3 (G-CSF) signaling	5	LYN,STAT1,STAT3,STAT5B,SYK
R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses	15	BECN1,G3BP1,IFNAR1,IKBKB,IKBKE,NUP133,NUP62,NUP85,NUP88,NUP93,PIK3C3,PIK3R4,PTPN6,RAE1,STAT1
R-HSA-9705683	SARS-CoV-2-host interactions	20	AKT1,BECN1,G3BP1,IFNAR1,IKBKB,IKBKE,NUP133,NUP62,NUP85,NUP88,NUP93,PIK3C3,PIK3R4,PTPN6,RAE1,RPS5,RPS6,SFN,STAT1,TJP1
R-HSA-9707564	Cytoprotection by HMOX1	6	BLVRA,CYCS,HMOX1,NFE2L2,STAP2,STAT3
R-HSA-9707616	Heme signaling	6	CREB1,HMOX1,MEF2C,NFE2L2,NRIP1,TLR4
R-HSA-9709570	Impaired BRCA2 binding to RAD51	8	BRCA1,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TOPBP1
R-HSA-9709957	Sensory Perception	12	APOE,CASK,GNB5,GPC1,LRP10,NMT1,PLS1,PRKCQ,SNAP25,SPTAN1,STX1A,TWF2
R-HSA-9710421	Defective pyroptosis	5	DNMT1,DNMT3A,EED,EZH2,SUZ12
R-HSA-9711097	Cellular response to starvation	10	ATP6V0B,ATP6V1D,NPRL2,RHEB,RPL39L,RPS5,RPS6,RRAGA,SESN1,TRIB3
R-HSA-9711123	Cellular response to chemical stress	26	AKT1,BCL2,BLVRA,BRCA1,CAT,CCL2,CDKN1A,CDKN2A,CSNK2A2,CYCS,EGF,ERO1A,HMOX1,KEAP1,MYC,NFE2L2,NOTCH1,PDGFA,PRKCD,PSMD2,SESN1,SKP1,SQSTM1,STAP2,STAT3,TXNRD1
