pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	11	AKT1,EIF4G1,ELAVL1,EXOSC4,HSPA1A,HSPA8,HSPB1,MAPKAPK2,PRKCD,PSMD2,ZFP36
R-HSA-451927	Interleukin-2 family signaling	9	PIK3CA,PIK3R3,PTK2B,PTPN6,SHC1,STAT1,STAT3,STAT5B,SYK
R-HSA-453274	Mitotic G2-G2/M phases	25	AURKA,CCNA1,CCNA2,CCNB1,CCNB2,CCNH,CCP110,CDC25A,CDC25B,CDK1,CDK2,CDK7,CDKN1A,CEP57,CSNK1E,MNAT1,MYBL2,PAFAH1B1,PCM1,PLK1,PRKACA,PSMD2,SKP1,TP53,TUBB6
R-HSA-453276	Regulation of mitotic cell cycle	14	AURKA,AURKB,BUB1B,CCNA1,CCNA2,CCNB1,CDC20,CDK1,CDK2,PLK1,PSMD2,RB1,SKP1,UBE2C
R-HSA-453279	Mitotic G1 phase and G1/S transition	38	ABL1,AKT1,CCNA1,CCNA2,CCNB1,CCND1,CCND3,CCNE2,CCNH,CDC25A,CDC45,CDK1,CDK2,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,E2F2,GMNN,LYN,MCM3,MNAT1,MYBL2,MYC,ORC1,PCNA,POLE2,PSMD2,RB1,RPA1,RPA2,RPA3,SKP1,SRC,TFDP1,TOP2A
R-HSA-4551638	SUMOylation of chromatin organization proteins	9	HDAC2,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,SATB1,SUZ12
R-HSA-4570464	SUMOylation of RNA binding proteins	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-4615885	SUMOylation of DNA replication proteins	11	AURKA,AURKB,BIRC5,NUP133,NUP62,NUP85,NUP88,NUP93,PCNA,RAE1,TOP2A
R-HSA-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	5	AXIN1,CSNK1A1,FZD1,PPP2R5A,PPP2R5E
R-HSA-4839726	Chromatin organization	35	ARID4B,ARID5B,BCL7B,CCND1,CDK4,CHERP,DDX42,DNMT3A,EED,EZH2,HAT1,HDAC2,HMG20B,IKZF1,JADE2,JMJD6,KAT6A,KAT6B,KDM3A,KDM5A,KDM5B,MTA1,NFE2L2,NFKB2,PAF1,PUF60,RUVBL1,SMARCA4,SMARCC1,SMARCD2,SMNDC1,SUV39H1,SUZ12,USP22,VPS72
R-HSA-500792	GPCR ligand binding	16	ADGRE5,ADRB2,APP,C5,CCL2,CXCL2,CXCR4,EDN1,FZD1,FZD7,GNAS,GNB5,GPER1,HEBP1,LPAR2,TBXA2R
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	11	CRK,CRKL,FYN,LYN,PIK3CA,PIK3R3,PRKACA,PTPN6,SHC1,STAT5B,SYK
R-HSA-5173105	O-linked glycosylation	5	B4GAT1,DAG1,MUC1,SLC35A1,ST6GALNAC2
R-HSA-5205647	Mitophagy	5	CSNK2A2,MTERF3,SQSTM1,SRC,VDAC1
