canonical_row	l1000_symbol	entrez_id	hgnc_symbol	resolved_via
244	HMGCR	3156	HMGCR	same
245	PRKCD	5580	PRKCD	same
246	VAPB	9217	VAPB	same
247	MYLK	4638	MYLK	same
248	S100A13	6284	S100A13	same
249	NRIP1	8204	NRIP1	same
250	HTATSF1	27336	HTATSF1	same
251	ADAM10	102	ADAM10	same
252	EAPP	55837	EAPP	same
253	SERPINE1	5054	SERPINE1	same
254	APPBP2	10513	APPBP2	same
255	TOPBP1	11073	TOPBP1	same
256	POLR2K	5440	POLR2K	same
257	ICAM1	3383	ICAM1	same
258	NRAS	4893	NRAS	same
259	LPGAT1	9926	LPGAT1	same
260	PSMB10	5699	PSMB10	same
261	SDHB	6390	SDHB	same
262	RASA1	5921	RASA1	same
263	GTF2A2	2958	GTF2A2	same
264	NPC1	4864	NPC1	same
265	GTF2E2	2961	GTF2E2	same
266	RNMT	8731	RNMT	same
267	RBM15B	29890	RBM15B	same
268	OXSR1	9943	OXSR1	same
269	DUSP11	8446	DUSP11	same
270	CCNB2	9133	CCNB2	same
271	HIST2H2BE	8349	H2BC21	entrez
272	PTPN1	5770	PTPN1	same
273	TES	26136	TES	same
274	GFPT1	2673	GFPT1	same
275	LIG1	3978	LIG1	same
276	PKIG	11142	PKIG	same
277	P4HA2	8974	P4HA2	same
278	EBP	10682	EBP	same
279	PHKB	5257	PHKB	same
280	PIK3R3	8503	PIK3R3	same
281	WRB	7485	GET1	entrez
282	GPC1	2817	GPC1	same
283	SYNE2	23224	SYNE2	same
284	CASP3	836	CASP3	same
285	DNTTIP2	30836	DNTTIP2	same
286	ZMYM2	7750	ZMYM2	same
287	OXCT1	5019	OXCT1	same
288	NNT	23530	NNT	same
289	MAPKAPK3	7867	MAPKAPK3	same
290	INPP1	3628	INPP1	same
291	SACM1L	22908	SACM1L	same
292	PRKACA	5566	PRKACA	same
293	INTS3	65123	INTS3	same
294	STAMBP	10617	STAMBP	same
295	GAA	2548	GAA	same
296	TARBP1	6894	TARBP1	same
297	SLC25A4	291	SLC25A4	same
298	SLC37A4	2542	SLC37A4	same
299	PCK2	5106	PCK2	same
300	HPRT1	3251	HPRT1	same
301	FAH	2184	FAH	same
302	POP4	10775	POP4	same
303	CDC20	991	CDC20	same
304	CYTH1	9267	CYTH1	same
305	DDIT4	54541	DDIT4	same
306	MAP7	9053	MAP7	same
307	NIT1	4817	NIT1	same
308	NUP88	4927	NUP88	same
309	WFS1	7466	WFS1	same
310	ADGRE5	976	ADGRE5	same
311	MSH6	2956	MSH6	same
312	FAM20B	9917	FAM20B	same
313	PIN1	5300	PIN1	same
314	ETFB	2109	ETFB	same
315	FPGS	2356	FPGS	same
316	FHL2	2274	FHL2	same
317	CRYZ	1429	CRYZ	same
318	UBE2C	11065	UBE2C	same
319	RFX5	5993	RFX5	same
320	ARNT2	9915	ARNT2	same
321	PYGL	5836	PYGL	same
322	POLD4	57804	POLD4	same
323	LYPLA1	10434	LYPLA1	same
324	ECD	11319	ECD	same
325	PTPRK	5796	PTPRK	same
326	TIMELESS	8914	TIMELESS	same
327	STK10	6793	STK10	same
328	TP53BP1	7158	TP53BP1	same
329	TCTA	6988	TCTA	same
330	PDHX	8050	PDHX	same
331	KLHL21	9903	KLHL21	same
332	COG2	22796	COG2	same
333	DNM1L	10059	DNM1L	same
334	PTK2B	2185	PTK2B	same
335	PAN2	9924	PAN2	same
336	CCDC86	79080	CCDC86	same
337	TP53BP2	7159	TP53BP2	same
338	SLC11A2	4891	SLC11A2	same
339	SPTLC2	9517	SPTLC2	same
340	KIF5C	3800	KIF5C	same
341	RB1	5925	RB1	same
342	TBP	6908	TBP	same
343	HAT1	8520	HAT1	same
344	PAK4	10298	PAK4	same
345	TIMP2	7077	TIMP2	same
346	RRP8	23378	RRP8	same
347	S100A4	6275	S100A4	same
348	B4GAT1	11041	B4GAT1	same
349	ABCB6	10058	ABCB6	same
350	PMM2	5373	PMM2	same
351	MTFR1	9650	MTFR1	same
352	RFC5	5985	RFC5	same
353	CDK1	983	CDK1	same
354	ST3GAL5	8869	ST3GAL5	same
355	MAPK9	5601	MAPK9	same
356	TLE1	7088	TLE1	same
357	PAFAH1B3	5050	PAFAH1B3	same
358	IL4R	3566	IL4R	same
359	NPRL2	10641	NPRL2	same
360	CDH3	1001	CDH3	same
361	DRAP1	10589	DRAP1	same
362	DFFA	1676	DFFA	same
363	EDEM1	9695	EDEM1	same
364	HS2ST1	9653	HS2ST1	same
365	KIAA0355	9710	GARRE1	entrez
366	CNOT4	4850	CNOT4	same
367	DMTF1	9988	DMTF1	same
368	DCK	1633	DCK	same
369	DYNLT3	6990	DYNLT3	same
370	BAMBI	25805	BAMBI	same
371	SLC35A1	10559	SLC35A1	same
372	NCK2	8440	NCK2	same
373	ITGB1BP1	9270	ITGB1BP1	same
374	PPP2R5E	5529	PPP2R5E	same
375	CEBPZ	10153	CEBPZ	same
376	TIMM17B	10245	TIMM17B	same
377	UGDH	7358	UGDH	same
378	MTF2	22823	MTF2	same
379	EZH2	2146	EZH2	same
380	MYCBP	26292	MYCBP	same
381	DUSP14	11072	DUSP14	same
382	SOCS2	8835	SOCS2	same
383	RPS6KA1	6195	RPS6KA1	same
384	APOE	348	APOE	same
385	HES1	3280	HES1	same
386	PSMG1	8624	PSMG1	same
387	SATB1	6304	SATB1	same
388	DDB2	1643	DDB2	same
389	CCNA2	890	CCNA2	same
390	EML3	256364	EML3	same
391	PRAF2	11230	PRAF2	same
392	SPR	6697	SPR	same
393	EPN2	22905	EPN2	same
394	MRPL19	9801	MRPL19	same
395	CEP57	9702	CEP57	same
396	TRAPPC3	27095	TRAPPC3	same
397	ZNF318	24149	ZNF318	same
398	STX4	6810	STX4	same
399	IPO13	9670	IPO13	same
400	PCBD1	5092	PCBD1	same
401	MNAT1	4331	MNAT1	same
402	AGL	178	AGL	same
403	LOXL1	4016	LOXL1	same
404	NFIL3	4783	NFIL3	same
405	CSNK2A2	1459	CSNK2A2	same
406	RAB4A	5867	RAB4A	same
407	POLB	5423	POLB	same
408	IGF1R	3480	IGF1R	same
409	FGFR2	2263	FGFR2	same
410	MBNL2	10150	MBNL2	same
411	TATDN2	9797	TATDN2	same
412	TRIM13	10206	TRIM13	same
413	HMOX1	3162	HMOX1	same
414	NUCB2	4925	NUCB2	same
415	BCL2	596	BCL2	same
416	RFC2	5982	RFC2	same
417	FZD7	8324	FZD7	same
418	PHKG2	5261	PHKG2	same
419	GADD45A	1647	GADD45A	same
420	LAMA3	3909	LAMA3	same
421	SKIV2L	6499	SKIC2	entrez
422	BUB1B	701	BUB1B	same
423	SLC25A13	10165	SLC25A13	same
424	SSBP2	23635	SSBP2	same
425	AKAP8	10270	AKAP8	same
426	PDIA5	10954	PDIA5	same
427	RAB11FIP2	22841	RAB11FIP2	same
428	RAB21	23011	RAB21	same
429	LYRM1	57149	LYRM1	same
430	RAP1GAP	5909	RAP1GAP	same
431	TCEA2	6919	TCEA2	same
432	NFKBIE	4794	NFKBIE	same
433	MRPL12	6182	MRPL12	same
434	ATF6	22926	ATF6	same
435	CEBPD	1052	CEBPD	same
436	GNB5	10681	GNB5	same
437	DUSP4	1846	DUSP4	same
438	CEBPA	1050	CEBPA	same
439	WASF3	10810	WASF3	same
440	PRKX	5613	PRKX	same
441	SLC5A6	8884	SLC5A6	same
442	MAP3K4	4216	MAP3K4	same
443	AURKA	6790	AURKA	same
444	CCNH	902	CCNH	same
445	TESK1	7016	TESK1	same
446	CDC45	8318	CDC45	same
447	FOXO3	2309	FOXO3	same
448	ENOSF1	55556	ENOSF1	same
449	IFNAR1	3454	IFNAR1	same
450	CDK2	1017	CDK2	same
451	ELOVL6	79071	ELOVL6	same
452	PMAIP1	5366	PMAIP1	same
453	PIK3C3	5289	PIK3C3	same
454	CREB1	1385	CREB1	same
455	PIK3CA	5290	PIK3CA	same
456	GSTM2	2946	GSTM2	same
457	FOSL1	8061	FOSL1	same
458	FZD1	8321	FZD1	same
459	PLA2G15	23659	PLA2G15	same
460	SNCA	6622	SNCA	same
461	MMP1	4312	MMP1	same
462	PIK3C2B	5287	PIK3C2B	same
463	CD44	960	CD44	same
464	DPH2	1802	DPH2	same
465	PPIC	5480	PPIC	same
466	BRCA1	672	BRCA1	same
467	ST6GALNAC2	10610	ST6GALNAC2	same
468	IKBKE	9641	IKBKE	same
469	FGFR4	2264	FGFR4	same
470	SLC25A14	9016	SLC25A14	same
471	CGRRF1	10668	CGRRF1	same
472	CCDC85B	11007	CCDC85B	same
473	ACD	65057	ACD	same
474	TFAP2A	7020	TFAP2A	same
475	SHB	6461	SHB	same
476	CCP110	9738	CCP110	same
477	KCNK1	3775	KCNK1	same
478	CDC25A	993	CDC25A	same
479	KIAA0753	9851	KIAA0753	same
480	NCK1	4690	NCK1	same
481	STX1A	6804	STX1A	same
482	PTGS2	5743	PTGS2	same
483	MAP2K5	5607	MAP2K5	same
484	C2CD2L	9854	C2CD2L	same
485	USP6NL	9712	USP6NL	same
486	FAS	355	FAS	same
487	PPOX	5498	PPOX	same
488	TMEM5	10329	RXYLT1	entrez
489	CLPX	10845	CLPX	same
490	ZW10	9183	ZW10	same
491	MELK	9833	MELK	same
492	CCNF	899	CCNF	same
493	RAD9A	5883	RAD9A	same
494	TCFL5	10732	TCFL5	same
495	ZNF274	10782	ZNF274	same
496	ICAM3	3385	ICAM3	same
497	DDX10	1662	DDX10	same
498	TRAPPC6A	79090	TRAPPC6A	same
499	CDK5R1	8851	CDK5R1	same
500	ATF5	22809	ATF5	same
501	STAT5B	6777	STAT5B	same
502	CCNE2	9134	CCNE2	same
503	LSM6	11157	LSM6	same
504	IKZF1	10320	IKZF1	same
505	CENPE	1062	CENPE	same
506	KIT	3815	KIT	same
507	ITGAE	3682	ITGAE	same
508	IL1B	3553	IL1B	same
509	ORC1	4998	ORC1	same
510	MAMLD1	10046	MAMLD1	same
511	SGCB	6443	SGCB	same
512	MOK	5891	MOK	same
513	CD40	958	CD40	same
514	PEX11A	8800	PEX11A	same
515	CLTB	1212	CLTB	same
516	CD58	965	CD58	same
517	PLS1	5357	PLS1	same
