source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0006397	mRNA Processing	14	CASC3,FBXO11,HSPA8,HTATSF1,LSM5,LSM6,PIN1,PPIE,PRKACA,PRPF4,RBM6,RNMT,RNPS1,TCERG1
GO:BP	GO:0006412	Translation	11	ABCF1,EIF4G1,EPRS1,IARS2,MRPL12,MRPL19,MRPS16,MRPS2,RPS5,RPS6,TNIP1
GO:BP	GO:0006417	Regulation Of Translation	21	APP,BZW2,CIRBP,EIF4G1,EIF5,ELAVL1,ELP1,EPRS1,ERBB2,FOXO3,GAPDH,GRB7,HSPB1,IFRD2,IGF2BP2,MAPKAPK5,NOLC1,RPS6KA1,SOX4,TRIM2,YTHDF1
GO:BP	GO:0006468	Protein Phosphorylation	79	ABL1,ADAM10,AKT1,APP,AURKA,AURKB,BECN1,BIRC5,BMP4,BTK,CAB39,CCL2,CDC25B,CDK1,CDK19,CDK2,CDK4,CDK5R1,CDK6,CHEK1,CHEK2,COQ8A,CREB1,CSK,CSNK1A1,CSNK1E,CSNK2A2,DDR1,DYRK3,EGFR,EPHA3,EPHB2,ERBB2,FAM20B,FGFR2,FGFR4,FYN,IGF1R,IGFBP3,IKBKB,IKBKE,ILK,KIT,LYN,MAP4K4,MAPK13,MAPK9,MAPKAPK2,MAPKAPK3,MAPKAPK5,MAST2,MELK,MKNK1,OXSR1,PAK1,PAK4,PAK6,PIK3C3,PIK3R4,PLK1,PRKACA,PRKAG2,PRKCD,PRKCH,PRKCQ,PRKX,PTK2,PTK2B,PTPN6,RPS6KA1,SRC,STK10,STK25,SYK,TBP,TGFBR2,TLK2,TLR4,TRIB1
GO:BP	GO:0006469	Negative Regulation Of Protein Kinase Activity	20	AKT1,CDKN1A,CDKN1B,CHP1,DUSP3,EPHB2,GADD45A,HSPB1,ITGB1BP1,MVP,PRKAG2,PTPN1,PTPRC,RB1,SFN,SH3BP5,SNCA,TESK1,TRIB1,TRIB3
GO:BP	GO:0006470	Protein Dephosphorylation	13	DUSP11,DUSP22,DUSP3,DUSP6,NCK1,PPP2R5A,PPP2R5E,PTPN1,PTPN12,PTPN6,PTPRC,PTPRF,PTPRK
GO:BP	GO:0006486	Protein Glycosylation	11	B4GAT1,COG7,FUT1,GFPT1,MLEC,NPC1,PLOD3,PMM2,PSMD2,ST3GAL5,ST6GALNAC2
GO:BP	GO:0006497	Protein Lipidation	3	PIGB,PIK3C3,ZDHHC6
GO:BP	GO:0006508	Proteolysis	21	ADAM10,BACE2,CAPN1,CASP2,CASP3,CASP7,CLPX,CNDP2,CTSD,CTSL,CXCR4,HTRA1,IDE,LGMN,MALT1,MBTPS1,MMP1,MMP2,NPEPL1,SENP6,XPNPEP1
GO:BP	GO:0006511	Ubiquitin-Dependent Protein Catabolic Process	35	APPBP2,AXIN1,BIRC2,CHMP4A,CHMP6,CNOT4,CSNK1A1,FBXO11,FBXO21,FBXO7,HERC6,HERPUD1,KCTD5,KEAP1,KIF14,KLHDC2,MTA1,NFE2L2,PSMD2,PSMD4,PSMD9,PSMF1,RNF167,SKP1,SQSTM1,STUB1,TRIM13,TRIM2,UBE2A,UBE2C,UBE2L6,UBE3B,UBE3C,VPS28,XBP1
GO:BP	GO:0006605	Protein Targeting	13	ATG3,EDEM1,FBXO7,FIS1,ICMT,MICALL1,PIK3R4,TIMM17B,TIMM9,TOMM34,TOMM70,TRAK2,ZDHHC6
GO:BP	GO:0006606	Protein Import Into Nucleus	10	AKT1,CBLB,IPO13,NUP133,NUP62,NUP85,NUP88,NUP93,STAT3,SYK
GO:BP	GO:0006626	Protein Targeting To Mitochondrion	10	DNAJC15,FBXO7,FIS1,HSPA4,HSPD1,TIMM17B,TIMM22,TIMM9,TOMM34,TOMM70
