source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0034599	Cellular Response To Oxidative Stress	23	ABL1,AKT1,EGFR,FOS,FOXO3,HIF1A,HMOX1,HSPA1A,JUN,KEAP1,MAPK9,MSRA,NFE2L2,PARP1,PRKCD,PTPRK,PXN,PYCR1,SNCA,SQSTM1,STX4,TP53,TPM1
GO:BP	GO:0034612	Response To Tumor Necrosis Factor	16	ADAM10,AKT1,ARHGEF2,ASAH1,BRCA1,CASP3,CCL2,CD40,CD58,GATA3,GPER1,IKBKB,NFE2L2,NFKBIA,TNFRSF21,ZFP36
GO:BP	GO:0034614	Cellular Response To Reactive Oxygen Species	15	AKT1,EDN1,EGFR,FOS,FYN,HDAC6,JUN,MAPK13,MAPK9,NFE2L2,PRKCD,PTPRK,PXN,SQSTM1,TPM1
GO:BP	GO:0034644	Cellular Response To UV	14	AURKB,CDC25A,CDKN1A,DDB2,MAPK13,MMP1,MMP2,MYC,PARP1,PCNA,PRKCD,PTPRK,TENT4A,TP53
GO:BP	GO:0034976	Response To Endoplasmic Reticulum Stress	16	ATF6,BAX,BCL2,CHAC1,ERO1A,HERPUD1,HYOU1,JUN,MBTPS1,NCK1,TMCO1,TP53,TRIB3,UFM1,WFS1,XBP1
GO:BP	GO:0036294	Cellular Response To Decreased Oxygen Levels	16	ADO,BAD,BNIP3,BNIP3L,HIF1A,HMOX1,HYOU1,MYC,NOTCH1,PMAIP1,PPARG,PTGS2,STUB1,SUV39H1,TERT,TP53
GO:BP	GO:0036503	ERAD Pathway	11	ATF6,DNAJB2,EDEM1,HERPUD1,STUB1,TOR1A,TRIM13,UBE2J1,UBQLN2,WFS1,XBP1
GO:BP	GO:0038127	ERBB Signaling Pathway	14	AKT1,CPNE3,EGF,EGFR,GRB7,IQGAP1,MVP,NCK2,PIK3CA,PTK2,PTK2B,SHC1,SRC,STUB1
GO:BP	GO:0042060	Wound Healing	15	CFLAR,CHMP4A,CHMP6,ERBB2,ERBB3,FZD7,HMOX1,MACF1,PAK1,PDGFA,PRCP,SCARB1,SMAD3,TPM1,TSKU
GO:BP	GO:0042113	B Cell Activation	10	BCL2,BTK,CD40,EPHB2,HSPD1,KIT,MALT1,MEF2C,PIK3R3,PTPRC
GO:BP	GO:0042149	Cellular Response To Glucose Starvation	10	BECN1,FOXO3,PIK3C3,PIK3R4,PMAIP1,RRP8,SESN1,SUV39H1,TP53,XBP1
GO:BP	GO:0042176	Regulation Of Protein Catabolic Process	16	APOE,AXIN1,CDKN1B,CHEK2,CHMP6,EGFR,HMGCR,IDE,PIN1,PRKACA,PSME1,PSME2,TIPARP,USP14,VGLL4,VPS28
GO:BP	GO:0042254	Ribosome Biogenesis	16	DDX10,DHX29,DNTTIP2,EBNA1BP2,EXOSC4,GRWD1,HEATR1,NOLC1,NVL,PIH1D1,POP4,RPS5,RPS6,RRP12,RRS1,TNIP1
GO:BP	GO:0042325	Regulation Of Phosphorylation	15	APP,BMP4,CDKN1A,CDKN1B,CDKN2A,EGF,EGFR,FZD7,HSPB1,IKBKB,ILK,LYN,PIN1,PTK2,TESK1
GO:BP	GO:0042326	Negative Regulation Of Phosphorylation	12	BMP4,CDKN1A,CDKN1B,CDKN2A,CHP1,CRKL,EPHB2,IGFBP3,LYN,NPRL2,TERF2IP,TESK1
GO:BP	GO:0042327	Positive Regulation Of Phosphorylation	33	AKT1,APP,AURKB,AXIN1,BIRC5,BMP4,CCNA2,CCND1,CCND3,CD40,CDKN1A,CRKL,DAXX,DDR1,EGF,EGFR,ERBB2,ERBB3,FAS,FGFR2,FGFR4,FZD7,GPER1,IGF1R,IL1B,ILK,LYN,PAK1,PIK3R3,PIN1,PTK2,RALB,TESK1
GO:BP	GO:0042593	Glucose Homeostasis	12	BACE2,BAD,CEBPA,FGFR4,HIF1A,HK1,PPARG,PYGL,RPS6,SOX4,STAT3,WFS1
GO:BP	GO:0043065	Positive Regulation Of Apoptotic Process	43	ATF6,BAD,BAX,BCL2,BID,BMP4,BNIP3,BNIP3L,CASP2,CASP3,CDK5R1,CFLAR,CTSD,CTSL,DNM1L,DUSP6,FAS,FOXO3,GADD45A,GADD45B,GPER1,GRN,HOXA5,HSPD1,HTRA1,IGFBP3,JUN,MELK,MLLT11,PMAIP1,PRR7,RNPS1,RPS6,RRP1B,SNCA,SOX4,SPDEF,SQSTM1,TFAP2A,TGFB3,TOP2A,TP53,TP53BP2
GO:BP	GO:0043066	Negative Regulation Of Apoptotic Process	74	AKT1,APOE,ATF5,BAG3,BCL2,BIRC2,BIRC5,BMP4,BNIP3,BNIP3L,CASP2,CAT,CCL2,CD44,CDK1,CFLAR,CIAPIN1,CSNK2A2,DFFA,DNAJA3,DNAJB6,EGFR,ERBB2,ERBB3,FAS,FHL2,GRN,HDAC2,HMGA2,HSPA1A,HSPB1,HSPD1,IER3,IGF1R,KIF14,LGMN,MALT1,MAP2K5,MAP4K4,MEF2C,MYC,NFATC4,NOL3,NOTCH1,NUP62,OXSR1,PIK3CA,PIK3R3,PLK1,PRKCD,PRKCH,PSMD10,PTK2,PTK2B,RASA1,RB1,RPS6KA1,SFN,SHC1,SNCA,SNX6,SOCS2,SRC,SUPV3L1,TFAP2A,TGFB3,TJP1,TLE1,TP53,UFM1,VDAC1,WFS1,XBP1,YME1L1
GO:BP	GO:0043067	Regulation Of Programmed Cell Death	26	AKT1,ASAH1,BAX,BECN1,BIRC2,BMP4,BNIP3,BNIP3L,DDX42,DFFA,FAS,FBXO11,FYN,MALT1,NUP62,PAX8,PLSCR3,PTPN6,RUVBL1,STAT1,TMEM109,TOMM70,TP53,VPS72,WFS1,XPNPEP1
GO:BP	GO:0043068	Positive Regulation Of Programmed Cell Death	40	ATF6,BAD,BAX,BCL2,BID,BMP4,BNIP3,BNIP3L,CASP2,CASP3,CFLAR,CTSD,DNM1L,DUSP6,FAS,FOXO3,GADD45A,GADD45B,GPER1,HDAC6,HOXA5,HSPD1,HTRA1,IGFBP3,JUN,MELK,MLLT11,PMAIP1,PRR7,RNPS1,RPS6,RRP1B,SNCA,SOX4,SPDEF,SQSTM1,SYK,TGFB3,TOP2A,TP53
GO:BP	GO:0043069	Negative Regulation Of Programmed Cell Death	57	AKT1,ATF5,BAG3,BCL2,BECN1,BIRC2,BIRC5,BMP4,BNIP3,BNIP3L,CASP2,CAT,CD44,CDK1,CFLAR,CIAPIN1,DNAJA3,EGFR,ERBB2,ERBB3,FAS,FHL2,HDAC2,HMGA2,HSPA1A,HSPB1,HSPD1,IER3,IGF1R,KIF14,MALT1,MAP4K4,MYC,NOL3,NUP62,OXSR1,PLK1,PSMD10,PTK2,PTK2B,RASA1,RPS6KA1,SHC1,SNCA,SOCS2,SRC,SUPV3L1,TFAP2A,TJP1,TMEM109,TP53,UFM1,VDAC1,WFS1,XBP1,XPNPEP1,YME1L1
GO:BP	GO:0043087	Regulation Of GTPase Activity	20	CCL2,CD40,CHN1,CRK,EPHA3,ERBB2,EZH2,GNB5,ITGB1BP1,MAP4K4,PIN1,PTK2,RAB11FIP2,RALGDS,RAP1GAP,RRP1B,RSU1,SNX13,USP6NL,VAV3
GO:BP	GO:0043122	Regulation Of I-kappaB kinase/NF-kappaB Signaling	27	ATP2C1,BIRC2,CANT1,CASP10,CD40,CFLAR,GAPDH,GOLT1B,HMOX1,HSPB1,IKBKB,IKBKE,IL1B,MALT1,NUP62,PARP1,RHOA,S100A13,S100A4,SQSTM1,STAT1,TERF2IP,TICAM1,TLE1,TNIP1,TRIM13,TSPAN6
GO:BP	GO:0043123	Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling	21	ATP2C1,BIRC2,CANT1,CASP10,CD40,CFLAR,GAPDH,GOLT1B,HMOX1,IKBKB,IKBKE,MALT1,NUP62,PARP1,RHOA,S100A13,S100A4,TERF2IP,TICAM1,TRIM13,TSPAN6
GO:BP	GO:0043161	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process	28	APPBP2,ASCC3,AXIN1,BIRC2,CCNF,CDC20,CSNK1A1,DNAJB2,EDEM1,FBXL12,FBXO7,HERPUD1,KCTD5,KIF14,KLHDC2,MTA1,NFE2L2,PSMD2,PSMD4,SKP1,STUB1,TRIM13,TRIM2,UBE2A,UBE2C,UBE2J1,UBQLN2,WFS1
GO:BP	GO:0043254	Regulation Of Protein-Containing Complex Assembly	12	APOE,BAX,BID,CDC42,HDAC6,HSPA8,MMP1,RALB,RB1,SRC,STXBP1,SYK
GO:BP	GO:0043280	Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process	19	BAD,BAX,BID,CASP10,CASP2,CTSD,CYCS,FAS,FIS1,GPER1,HSPD1,MALT1,MYC,PMAIP1,PPARG,PRR7,SMAD3,SNCA,SYK
GO:BP	GO:0043281	Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process	18	AKT1,BAD,CD44,CTSD,CYCS,DNAJB6,FIS1,GPER1,MALT1,MAP2K5,MYC,PMAIP1,RPS6KA1,SFN,SNCA,SOX2,SRC,SYK
GO:BP	GO:0043393	Regulation Of Protein Binding	23	AKT1,APP,AURKA,AURKB,BAMBI,BAX,BMP4,CDKN1A,CRK,CSNK1E,DNAJB2,IDE,ITGB1BP1,LRPAP1,NVL,PIN1,PLK1,PRKACA,PRKCD,RALB,TERT,TIAM1,TRIB3
GO:BP	GO:0043405	Regulation Of MAP Kinase Activity	22	APOE,BMP4,CD40,EDN1,EGF,EGFR,ERBB2,EZH2,GHR,IL1B,KIT,LYN,MAP2K5,MEF2C,PDGFA,PPARG,PRKCD,PTPN1,RGS2,TLR4,TRIB1,TRIB3
GO:BP	GO:0043406	Positive Regulation Of MAP Kinase Activity	16	CD40,EDN1,EGF,EGFR,ERBB2,EZH2,GHR,IL1B,KIT,MAP2K5,MAP3K4,MEF2C,PAK1,PDGFA,PTPN1,TLR4
GO:BP	GO:0043408	Regulation Of MAPK Cascade	30	ADRB2,BMP4,CCNA2,DAG1,DUSP3,DUSP4,DUSP6,EGF,EGFR,ERBB2,FAS,FGFR2,GPER1,IGF1R,IL1B,IQGAP1,KIT,LYN,MAP4K4,PAK1,PAK4,PAK6,PDGFA,PSMD10,PTPN6,PTPRC,SHC1,SOX2,SPRED2,SYK
GO:BP	GO:0043409	Negative Regulation Of MAPK Cascade	23	APOE,BMP4,DAG1,DUSP3,DUSP4,DUSP6,EPHB2,GPER1,IGF1R,IL1B,ITGB1BP1,LYN,MYC,PIN1,PPARG,PRKCD,PSMD10,PTPN1,PTPRC,RGS2,SPRED2,TLR4,TNIP1
GO:BP	GO:0043410	Positive Regulation Of MAPK Cascade	33	ADRB2,APOE,APP,BMP4,CCL2,CD40,CD44,CRKL,DDR1,EDN1,EGF,EGFR,ERBB2,EZH2,FGFR2,FGFR4,GHR,GPER1,ICAM1,IGF1R,IL1B,IQGAP1,KIT,MAP2K5,MEF2C,NOTCH1,PDGFA,PTK2B,PTPRC,SHC1,SOX2,STK25,TLR4
GO:BP	GO:0043433	Negative Regulation Of DNA-binding Transcription Factor Activity	17	BHLHE40,CDKN2A,CHP1,E2F2,HDAC2,HES1,ID2,KEAP1,MAP2K5,NFKBIA,NFKBIE,PSMD10,RB1,TFDP1,TRIB1,USP7,WFS1
GO:BP	GO:0043484	Regulation Of RNA Splicing	6	HSPA1A,JMJD6,MBNL1,MBNL2,RRP1B,USP22
GO:BP	GO:0043523	Regulation Of Neuron Apoptotic Process	20	APOE,BAX,BCL2,CCL2,CDK5R1,EGR1,ERBB3,FOXO3,GRN,KIF14,LGMN,MEF2C,NFATC4,PTK2B,RASA1,SNX6,TFAP2A,TGFB3,TRIM2,WFS1
GO:BP	GO:0043524	Negative Regulation Of Neuron Apoptotic Process	15	APOE,BCL2,CCL2,ERBB3,GRN,HIF1A,KIF14,LGMN,MEF2C,NFATC4,PTK2B,RASA1,SNX6,TGFB3,WFS1
GO:BP	GO:0043535	Regulation Of Blood Vessel Endothelial Cell Migration	12	AKT1,APOE,CD40,ETS1,GADD45A,GATA2,HIF1A,HSPB1,MEF2C,NOS3,PPARG,PRCP
GO:BP	GO:0043542	Endothelial Cell Migration	7	LGALS8,NOS3,PIK3CA,PRKX,PXN,RHOA,STAT1
GO:BP	GO:0043547	Positive Regulation Of GTPase Activity	15	CCL2,CD40,ERBB2,EZH2,GNB5,MAP4K4,PIN1,RAB11FIP2,RALGDS,RAP1GAP,RSU1,SNX13,TBC1D9B,TIAM1,USP6NL
GO:BP	GO:0043549	Regulation Of Kinase Activity	10	CDKN1B,DDR1,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,IGF1R,NPRL2,RB1
GO:BP	GO:0043933	Protein-Containing Complex Organization	16	AXIN1,BECN1,CD40,DNM1L,EPRS1,FAS,HES1,MNAT1,NUP133,PTK2B,SLC25A46,TIAM1,TP53,TSPAN4,WASF3,ZW10
GO:BP	GO:0044772	Mitotic Cell Cycle Phase Transition	26	ARPP19,AURKA,CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CCNE2,CCNF,CDC25A,CDC25B,CDK1,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,CHEK2,CHMP4A,EIF4EBP1,MELK,MYC,PLK1,UBE2A,UBE2C
GO:BP	GO:0044773	Mitotic DNA Damage Checkpoint Signaling	12	BRCA1,CCND1,CDK1,CDK2,CDKN1A,CHEK1,CHEK2,PLK1,RAD9A,RPA2,TOPBP1,TP53
GO:BP	GO:0044839	Cell Cycle G2/M Phase Transition	15	AKAP8,AKAP8L,ARPP19,AURKA,AURKB,CCNA2,CCNB1,CDC25A,CDC25B,CDK1,CDK2,CHEK2,MELK,PLK1,UBE2A
GO:BP	GO:0044843	Cell Cycle G1/S Phase Transition	12	CCNA2,CCND1,CCND3,CCNE2,CDC25A,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,EIF4EBP1,MYC
GO:BP	GO:0045324	Late Endosome To Vacuole Transport	4	CHMP4A,CHMP6,PIK3R4,TMEM50A
GO:BP	GO:0045582	Positive Regulation Of T Cell Differentiation	11	FOXO3,GATA3,GLI2,HLA-DRA,PNP,SMARCA4,SMARCC1,SMARCD2,SOX4,XBP1,ZMIZ1
GO:BP	GO:0045595	Regulation Of Cell Differentiation	23	BCL7B,BIRC2,CDK5R1,CDK6,CEBPD,DAG1,EPHA3,FGFR2,GATA3,HDAC2,ID2,MTA1,PRKACA,PTK2,RPS6KA1,SMARCA4,SMARCC1,SMARCD2,ST7,SUZ12,TCFL5,TFAP2A,TIAM1
GO:BP	GO:0045596	Negative Regulation Of Cell Differentiation	27	BAMBI,BCL7B,BMP4,CCDC85B,CDK6,EGFR,GATA3,GPER1,HES1,ID2,NFKBIA,NOTCH1,NR1H2,OXSR1,PPARG,PTK2B,RB1,SKIC8,SMAD3,SMARCA4,SMARCC1,SOX2,SOX4,SPRED2,SUZ12,TRIB3,TSKU
GO:BP	GO:0045597	Positive Regulation Of Cell Differentiation	33	AKT1,ARHGEF2,BAMBI,BMP4,CCNA2,COL1A1,CREB1,EZH2,GDPD5,GPC1,HOXA5,ID2,IGFBP3,IL1B,MAPK9,MEF2C,PAX8,PPARD,PPARG,PRKCH,PTK2,RHOA,RPS6KA1,SMAD3,SMARCA4,SMARCC1,SMARCD2,SOX4,TGFB3,TGFBR2,TIAM1,XBP1,ZFP36
GO:BP	GO:0045598	Regulation Of Fat Cell Differentiation	11	AKT1,CCDC85B,CREB1,GPER1,ID2,PPARD,PPARG,SMAD3,TRIB3,XBP1,ZFP36
GO:BP	GO:0045646	Regulation Of Erythrocyte Differentiation	11	CDK6,ETS1,FOXO3,HIF1A,HOXA5,HSPA1A,LYN,STAT1,STAT3,STAT5B,ZFP36
GO:BP	GO:0045667	Regulation Of Osteoblast Differentiation	10	BAMBI,BMP4,CCNA2,CDK6,FGFR2,MEF2C,NOTCH1,PPARG,PRKACA,PTK2
GO:BP	GO:0045739	Positive Regulation Of DNA Repair	11	BCL7B,BRCA1,EGFR,PARP1,PCNA,RUVBL1,SMARCA4,SMARCC1,SMARCD2,TIMELESS,USP1
GO:BP	GO:0045765	Regulation Of Angiogenesis	21	BRCA1,CD40,CEMIP2,ERBB2,ETS1,FOXO4,GATA2,GRN,HIF1A,HMGA2,HMOX1,HOXA5,HSPB1,IL1B,NOS3,PAK4,PPARG,RNH1,SERPINE1,STAT1,XBP1
GO:BP	GO:0045766	Positive Regulation Of Angiogenesis	16	BRCA1,CD40,ETS1,FUT1,GATA2,GRN,HIF1A,HMGA2,HMOX1,HSPB1,IL1B,NOS3,PAK4,SERPINE1,TJP1,XBP1
GO:BP	GO:0045786	Negative Regulation Of Cell Cycle	18	BMP4,BRCA1,CDK6,CDKN1A,CDKN1B,CDKN2A,CEBPA,GATA3,GMNN,GPER1,PLK1,PPP1R13B,PTPRK,RB1,RNF167,RRP8,SUV39H1,TP53BP2
GO:BP	GO:0045787	Positive Regulation Of Cell Cycle	16	AKT1,APP,AURKA,CCNB1,CCND1,CCND3,CDC25B,CHEK1,DUSP3,EGFR,EIF4EBP1,FGFR2,LGMN,PSMD10,PSRC1,USP22
GO:BP	GO:0045807	Positive Regulation Of Endocytosis	10	APOE,CDC42,GATA2,IL1B,RAB21,RAB27A,SERPINE1,SNCA,TOR1A,VPS28
GO:BP	GO:0045859	Regulation Of Protein Kinase Activity	20	AKT1,AXIN1,CCNA2,CDKN1A,CENPE,CHP1,DAXX,EPHB2,HSPB1,IQGAP1,ITGB1BP1,PRKAG2,PTK2,PTK2B,PTPRC,RB1,SFN,SNCA,TRIB1,TRIB3
GO:BP	GO:0045860	Positive Regulation Of Protein Kinase Activity	26	ADRB2,AXIN1,CAB39,CALM3,CCNA2,CDKN1A,CENPE,DAXX,EGR1,ERBB3,EZH2,HMGA2,IQGAP1,KIF14,PIH1D1,PRKAG2,PRKCD,PTK2,PTK2B,PTPN1,PTPRC,RALB,RHOA,SNCA,SRC,TGFBR2
GO:BP	GO:0045862	Positive Regulation Of Proteolysis	10	APOE,BAD,CTSL,FGFR4,HDAC2,IL1B,PACSIN3,PLK1,STUB1,TNIP1
GO:BP	GO:0045926	Negative Regulation Of Growth	14	BRCA1,CCDC85B,CDKN1A,CDKN1B,CDKN2A,CGRRF1,DNAJB2,HSPA1A,PSRC1,RB1,SMAD3,SMARCA4,TP53,VGLL4
GO:BP	GO:0045927	Positive Regulation Of Growth	11	AKT1,BCL2,CDC42,EGFR,EIF4G1,ERBB2,EXOSC4,PSMD10,RPS6KA1,SUPV3L1,WFS1
GO:BP	GO:0046328	Regulation Of JNK Cascade	11	APP,AXIN1,DUSP3,EGFR,FZD7,GADD45A,GADD45B,IGF1R,IL1B,MAP4K4,PTK2B
GO:BP	GO:0046777	Protein Autophosphorylation	27	ABL1,AKT1,AURKA,AURKB,CHEK2,DDR1,EGFR,ERBB2,FGFR2,FGFR4,FYN,IGF1R,KIT,LYN,MAPKAPK2,MAPKAPK3,MAPKAPK5,MELK,MKNK1,OXSR1,PAK1,PRKX,PTK2,PTK2B,SRC,STK10,STK25
GO:BP	GO:0048013	Ephrin Receptor Signaling Pathway	13	CDK5R1,CHN1,CRK,EPHA3,EPHB2,FYN,LYN,MMP2,PAK1,PTK2,RASA1,SRC,TIAM1
GO:BP	GO:0048015	Phosphatidylinositol-Mediated Signaling	10	EDN1,ERBB2,ERBB3,GATA3,IGF1R,PIK3C2B,PIK3C3,PIK3CA,PLCB3,STAT3
GO:BP	GO:0048193	Golgi Vesicle Transport	12	COG2,COG4,COG7,COPB2,HYOU1,KDELR2,TMED10,TRAPPC3,TRAPPC6A,VAPB,YKT6,ZW10
GO:BP	GO:0048662	Negative Regulation Of Smooth Muscle Cell Proliferation	12	APOE,BMP4,CDKN1A,CDKN1B,GPER1,HMOX1,IGFBP3,MEF2C,PPARG,TGFB3,TPM1,TRIB1
GO:BP	GO:0048666	Neuron Development	14	APOE,APP,CDK5R1,ETV1,GLI2,HDGFL3,LYN,MEF2C,MICALL1,RB1,STMN1,TOR1A,UGDH,XBP1
GO:BP	GO:0048699	Generation Of Neurons	12	CASP3,CDK5R1,CDK6,CFLAR,DDIT4,ERBB2,FZD1,FZD7,MEF2C,NGRN,PAFAH1B1,PIN1
GO:BP	GO:0048732	Gland Development	10	ARID5B,CEBPA,FGFR2,GLI2,HES1,LSR,PAX8,SOX2,TGFB3,XBP1
GO:BP	GO:0050671	Positive Regulation Of Lymphocyte Proliferation	11	BCL2,CD320,CD40,EPHB2,IL1B,MEF2C,NCK1,NCK2,PNP,PTPRC,VAV3
GO:BP	GO:0050678	Regulation Of Epithelial Cell Proliferation	12	BAD,BMP4,CDK6,EGFR,ERBB2,FGFR2,FUT1,GRN,MYC,OXSR1,SOX2,ZFP36
GO:BP	GO:0050679	Positive Regulation Of Epithelial Cell Proliferation	15	AKT1,BAD,BMP4,CDH3,EGF,EGFR,ERBB2,FGFR2,FZD7,GRN,HIF1A,MYC,NRAS,OXSR1,XBP1
GO:BP	GO:0050727	Regulation Of Inflammatory Response	22	APOE,APP,BIRC2,CEBPA,ETS1,GATA3,GPER1,GRN,IL1B,MAPK13,NFKBIA,PPARD,PPARG,PRKCD,PTGS2,RB1,SERPINE1,SNCA,SNX6,STAT3,TLR4,TNIP1
GO:BP	GO:0050728	Negative Regulation Of Inflammatory Response	14	APOE,FYN,GATA3,GPER1,GRN,LYN,PPARD,PPARG,PRKCD,PTPN6,RB1,SRC,STAT3,SYK
GO:BP	GO:0050729	Positive Regulation Of Inflammatory Response	11	APP,CEBPA,ETS1,GRN,IL1B,MAPK13,NFKBIA,SERPINE1,SNCA,TLR4,TNIP1
GO:BP	GO:0050730	Regulation Of Peptidyl-Tyrosine Phosphorylation	13	APP,ARHGEF2,CD44,EGFR,FYN,GHR,PDGFA,PRKCD,PTK2B,PTPN6,PTPRC,SRC,TP53
GO:BP	GO:0050731	Positive Regulation Of Peptidyl-Tyrosine Phosphorylation	14	ABL1,ARHGEF2,CD40,CD44,ERBB3,GHR,HES1,KIT,LYN,PTK2B,PTPN1,PTPRC,SRC,TP53
GO:BP	GO:0050767	Regulation Of Neurogenesis	8	BHLHE40,FAIM,GPER1,HES1,IL1B,NOTCH1,PRUNE1,SPEN
GO:BP	GO:0050806	Positive Regulation Of Synaptic Transmission	11	APP,CCL2,CLSTN1,EPHB2,GPER1,LGMN,NFATC4,NOL3,PTK2B,SQSTM1,STX4
GO:BP	GO:0050821	Protein Stabilization	24	ATP1B1,BAG3,CCNH,CDK7,CHEK2,CHP1,COG7,CREB1,CRTAP,CTNND1,GAPDH,GET1,GRN,HSPA1A,HSPD1,PIH1D1,PIN1,PRKCD,RAB21,RUVBL1,SOX4,STUB1,USP7,WFS1
GO:BP	GO:0050851	Antigen Receptor-Mediated Signaling Pathway	14	BCL2,BTK,CSK,FCHO1,FYN,GATA3,IKBKB,MALT1,MEF2C,PIK3CA,PTPRC,SYK,TNFRSF21,VAV3
GO:BP	GO:0050852	T Cell Receptor Signaling Pathway	10	BTK,CSK,FCHO1,FYN,GATA3,IKBKB,MALT1,PIK3CA,PTPRC,TNFRSF21
GO:BP	GO:0050870	Positive Regulation Of T Cell Activation	17	CCL2,FCHO1,GATA3,HLA-DMA,HLA-DRA,HSPD1,IL1B,NCK1,NCK2,PNP,PRKCQ,PTPRC,SMARCA4,SMARCC1,SMARCD2,XBP1,ZMIZ1
GO:BP	GO:0050871	Positive Regulation Of B Cell Activation	12	BCL2,BTK,CD320,CD40,EPHB2,MEF2C,PPP2R3C,PTPRC,SYK,TP53BP1,VAV3,XBP1
GO:BP	GO:0050999	Regulation Of Nitric-Oxide Synthase Activity	8	AKT1,APOE,EGFR,HIF1A,IL1B,NOSIP,SCARB1,TERT
GO:BP	GO:0051052	Regulation Of DNA Metabolic Process	11	BRCA1,CCNA2,GMNN,JADE2,MYC,PDGFA,RUVBL1,SMC3,TERF2IP,USP1,USP22
GO:BP	GO:0051054	Positive Regulation Of DNA Metabolic Process	11	ACD,BRCA1,EGF,EGFR,FGFR4,GLI2,MYC,PCNA,RUVBL1,TERF2IP,USP7
GO:BP	GO:0051091	Positive Regulation Of DNA-binding Transcription Factor Activity	28	AKT1,APP,ARHGEF2,ARID5B,BTK,CD40,CFLAR,EDN1,FZD1,HSPA1A,IKBKB,IKBKE,IL1B,KIT,MALT1,PPARG,PRKCH,PRKCQ,SMAD3,SMARCA4,STAT3,TERF2IP,TFDP1,TICAM1,TLR4,TP53BP1,TRIM13,USP14
GO:BP	GO:0051092	Positive Regulation Of NF-kappaB Transcription Factor Activity	17	APP,ARHGEF2,BTK,CD40,CFLAR,HSPA1A,IKBKB,IL1B,MALT1,PRKCH,PRKCQ,STAT3,TERF2IP,TICAM1,TLR4,TRIM13,USP14
GO:BP	GO:0051093	Negative Regulation Of Developmental Process	14	ARID4B,BCL7B,BMP4,BNIP3,CDK6,HDAC2,NOS3,NOTCH1,PARP1,PPARG,SMARCA4,SMARCC1,SUZ12,TBX2
GO:BP	GO:0051094	Positive Regulation Of Developmental Process	22	APOE,ARID4B,AURKA,BCL7B,BMP4,BNIP3,CDC20,DAG1,DNM1L,FIS1,HDAC2,NCOA3,PPARG,RALA,RPS6KA1,SMARCA4,SMARCC1,SMARCD2,SRC,TP53BP1,XBP1,ZDHHC6
GO:BP	GO:0051099	Positive Regulation Of Binding	16	APOE,APP,BAMBI,BMP4,EGF,GMNN,HES1,IDE,NVL,PIN1,PPARG,RALB,STMN1,TERT,TIAM1,TRIB3
GO:BP	GO:0051100	Negative Regulation Of Binding	15	AKT1,AURKA,AURKB,BAX,CDKN1A,CSNK1E,DNAJB2,HMGA2,ITGB1BP1,JUN,LRPAP1,NFKBIA,PIN1,PRKCD,RALB
GO:BP	GO:0051128	Regulation Of Cellular Component Organization	17	APOE,ATF5,AURKA,CAMSAP2,HSPA8,JADE2,KIF14,PACSIN3,PAK4,PAK6,PRKCQ,PTPN1,RAB4A,SOCS2,TJP1,TLK2,TMEM97
GO:BP	GO:0051129	Negative Regulation Of Cellular Component Organization	11	CARMIL1,CDC42,DNAJB1,DNAJB2,DNAJB6,EPHA3,HDAC6,HSPA1A,HSPA8,PACSIN3,SRC
GO:BP	GO:0051130	Positive Regulation Of Cellular Component Organization	11	APOE,BAX,BID,BNIP3,CDC20,IGF1R,MMP1,RB1,SNCA,SYK,TGFB3
GO:BP	GO:0051173	Positive Regulation Of Nitrogen Compound Metabolic Process	10	AKT1,APP,EGF,EIF4G1,GATA3,MAP2K5,NFKBIA,NR1H2,PAX8,WFS1
GO:BP	GO:0051240	Positive Regulation Of Multicellular Organismal Process	44	ADRB2,APOE,ARID4B,BAD,BAMBI,BCL7B,BMP4,COL1A1,CXCR4,DECR1,EGF,ELOVL6,EZH2,GAPDH,GHR,GNAS,GRB10,HDAC2,IGF1R,IL1B,IL4R,KDM3A,LRPAP1,MUC1,NCOA3,PAX8,PLEKHM1,PPARG,PRKCH,PTK2,S100A13,SERPINE1,SMAD3,SMARCA4,SMARCC1,SPP1,SYK,TBXA2R,TERT,TGFB3,TGFBR2,TIAM1,TSKU,XBP1
GO:BP	GO:0051241	Negative Regulation Of Multicellular Organismal Process	18	ARID4B,BMP4,EGFR,EVL,GATA3,GRN,HDAC2,HMGCR,IL1B,LRPAP1,MEF2C,NOTCH1,NR1H2,PARP1,RB1,RGS2,SPRED2,TLR4
GO:BP	GO:0051246	Regulation Of Protein Metabolic Process	15	AKT1,APOE,APP,CHEK2,CHMP6,EDN1,EIF4G1,ELP1,FOXO3,MAP2K5,MAPKAPK5,NFKBIA,NOLC1,NR1H2,WFS1
