pert_id	pert_iname	n_sigs	canonical_smiles
BRD-A04172077	BRD-A04172077	17	COc1ccc2ccc(=O)oc2c1CC(O)C(C)(C)OC
BRD-A04260165	SKF-83959	6	CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c3cccc(C)c3
BRD-A04308630	genipin	11	COC(=O)C1=COC(O)C2C1CC=C2CO
BRD-A04327189	synephrine	17	CNCC(O)c1ccc(O)cc1
BRD-A04332542	BRD-A04332542	6	CC(=O)NCC(O)c1ccc(O)cc1
BRD-A04352665	maraviroc	101	CC(C)c1nnc(C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
BRD-A04392722	BRD-A04392722	12	CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c2ccccc2
BRD-A04438777	SKF-82958	6	Oc1cc2C(CN(CC=C)CCc2c(Cl)c1O)c3ccccc3
BRD-A04553218	chlorphenamine	79	CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
BRD-A04668240	CGP-52432	19	CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1
BRD-A04706586	bucladesine	86	CCCC(=O)Nc1ncnc2n(cnc12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC
BRD-A04756508	norgestimate	23	CC[C@]12CCC3C(CCC4=C\C(CCC34)=N\O)C1CC[C@@]2(OC(C)=O)C#C
BRD-A04831598	2-aminotetralin	6	NC1CCc2ccccc2C1
BRD-A05186015	bupropion	90	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
BRD-A05334458	lisofylline	42	CC(O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O
BRD-A05352148	ipratropium	34	CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1
BRD-A05457250	BAY-K8644	48	COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1C(F)(F)F)[N+]([O-])=O
BRD-A05523972	telmesteine	42	CCOC(=O)N1CSCC1C(O)=O
BRD-A05565054	BRD-A05565054	13	CCC1CCCCN1C(=O)n1cc(nn1)C(O)(c1ccccc1)c1ccccc1
BRD-A05581237	dinorcitalopram-oxalate	6	NCCCC1(OCc2cc(ccc12)[N+]#[C-])c1ccc(F)cc1
BRD-A05680309	BRD-A05680309	15	CNC(C)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC2CCCc3ccccc23
BRD-A05729358	BRD-A05729358	6	CCOC(=O)C12CC1\C(=N/O)c1ccccc1O2
BRD-A05821830	docetaxel	42	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
BRD-A05831822	BRD-A05831822	12	COc1ccc(cc1COc1ccc(NC(C)=O)cc1)C1NC(=O)c2ccccc2N1
BRD-A05874290	DL-TBOA	59	NC(C(OCc1ccccc1)C(=O)O)C(=O)O
BRD-A06131576	BRD-A06131576	17	CC(C)C1CCC(C)C(C(O)c2ccc(cc2)c3ccccc3)C1=O
BRD-A06276885	BRD-A06276885	19	Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c6n(Cc8ccccc8)c9ccccc79
BRD-A06304526	alvespimycin	24	COC1CC(C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O
BRD-A06352418	terfenadine	26	CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1
BRD-A06352508	SB-218078	23	O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13
BRD-A06390036	hydroquinidine	19	CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
BRD-A06641369	BRD-A06641369	15	CC(C)Oc1cccc(c1)C(=O)C2CCCN(Cc3cnn(c3)C(C)C)C2
BRD-A06664848	BRD-A06664848	15	CC(Sc1nc2cc(Cl)ccc2s1)C(=O)Nc3cccc(c3)S(=O)(=O)N4CCOCC4
BRD-A06726973	dibutyrylcyclic-gmp	19	CCCC(=O)Nc1nc2n(cnc2c(=O)[nH]1)C3O[C@H]4COP(=O)(O)O[C@@H]4[C@@H]3OC(=O)CCC
BRD-A06779035	BRD-A06779035	6	COc1cc(cc(OC)c1OC)C(O)CN
BRD-A06784547	MRS-1334	23	CCOC(=O)C1=C(C)NC(=C(C1C#Cc2ccccc2)C(=O)OCc3ccc(cc3)[N+](=O)[O-])c4ccccc4
BRD-A06909528	BRD-A06909528	17	O=C1N(Cc2ccccc2)c2ccccc2C11NNc2ccccc2O1
BRD-A06916187	CPI-613	42	OC(=O)CCCCC(CCSCc1ccccc1)SCc1ccccc1
BRD-A06929388	CVF-SUMO-13	18	CCN(CC)CC(C(=O)c1ccc(F)cc1)c1ccccc1
BRD-A06935312	fusidic-acid	42	C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)C2[C@H](O)C[C@@H]2[C@]1(C)C[C@H](OC(C)=O)\C2=C(/CCC=C(C)C)C(O)=O
BRD-A07000685	hydrocortisone-hemisuccinate	15	C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O
BRD-A07029265	ipratropium	16	CC(C)[N+]1(C)C2CC[C@@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3
BRD-A07106394	tryptophan	3	NC(Cc1c[nH]c2ccccc12)C(=O)O
BRD-A07395371	esmolol	57	COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A07440155	labetalol	79	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O
BRD-A07563059	bopindolol	42	Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1
BRD-A07614565	BRD-A07614565	17	CCOc1ccc(cc1)C(Nc2cccnc2)c3cc(Cl)c4cccnc4c3O
BRD-A07704283	isofloxythepin	42	CC(C)c1ccc2Sc3cc(F)ccc3CC(N3CCN(CCO)CC3)c2c1
BRD-A07765530	epinephrine-(racemic)	15	CNCC(O)c1ccc(O)c(O)c1
BRD-A07780951	orciprenaline	22	CC(C)NCC(O)c1cc(O)cc(O)c1
BRD-A07815743	kakonein	42	OCC1OC(C(O)C(O)C1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O
BRD-A07824748	flavanone	21	O=C1CC(Oc2ccccc12)c3ccccc3
BRD-A07875874	cilnidipine	23	COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCC=Cc3ccccc3)C
BRD-A07893380	vigabatrin	4	NC(CCC(O)=O)C=C
BRD-A07932845	metitepine	3	CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1
BRD-A07986123	galeterone	42	C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CC=C2n1cnc2ccccc12
BRD-A08003242	rhodomyrtoxin-b	15	CCC(C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)CC)c(O)c3c2c1O
