gene_symbol	entrez_id	ccle_match_status	hgnc_locus_group	hgnc_id	secondary_source_available	notes
ELAC2	60528	matched_entrez			False	CCLE column ELAC2 (60528)
NCAPD2	9918	matched_entrez			False	CCLE column NCAPD2 (9918)
EFCAB14	9813	matched_entrez			False	CCLE column EFCAB14 (9813)
DDX42	11325	matched_entrez			False	CCLE column DDX42 (11325)
LBR	3930	matched_entrez			False	CCLE column LBR (3930)
SH3BP5	9467	matched_entrez			False	CCLE column SH3BP5 (9467)
UBE3C	9690	matched_entrez			False	CCLE column UBE3C (9690)
SCARB1	949	matched_entrez			False	CCLE column SCARB1 (949)
SCCPDH	51097	matched_entrez			False	CCLE column SCCPDH (51097)
SMARCD2	6603	matched_entrez			False	CCLE column SMARCD2 (6603)
NET1	10276	matched_entrez			False	CCLE column NET1 (10276)
HDAC2	3066	matched_entrez			False	CCLE column HDAC2 (3066)
HSPB1	3315	matched_entrez			False	CCLE column HSPB1 (3315)
LIPA	3988	matched_entrez			False	CCLE column LIPA (3988)
BNIP3	664	matched_entrez			False	CCLE column BNIP3 (664)
CDC25B	994	matched_entrez			False	CCLE column CDC25B (994)
ATMIN	23300	matched_entrez			False	CCLE column ATMIN (23300)
TOMM34	10953	matched_entrez			False	CCLE column TOMM34 (10953)
MPZL1	9019	matched_entrez			False	CCLE column MPZL1 (9019)
IL13RA1	3597	matched_entrez			False	CCLE column IL13RA1 (3597)
PSRC1	84722	matched_entrez			False	CCLE column PSRC1 (84722)
UBE2A	7319	matched_entrez			False	CCLE column UBE2A (7319)
COASY	80347	matched_entrez			False	CCLE column COASY (80347)
LRRC41	10489	matched_entrez			False	CCLE column LRRC41 (10489)
MYCBP2	23077	matched_entrez			False	CCLE column MYCBP2 (23077)
RBM6	10180	matched_entrez			False	CCLE column RBM6 (10180)
PGM1	5236	matched_entrez			False	CCLE column PGM1 (5236)
MYO10	4651	matched_entrez			False	CCLE column MYO10 (4651)
RSU1	6251	matched_entrez			False	CCLE column RSU1 (6251)
EGFR	1956	matched_entrez			False	CCLE column EGFR (1956)
KIAA0196	9897	matched_entrez			False	CCLE column WASHC5 (9897)
EXT1	2131	matched_entrez			False	CCLE column EXT1 (2131)
SPEN	23013	matched_entrez			False	CCLE column SPEN (23013)
PTPN12	5782	matched_entrez			False	CCLE column PTPN12 (5782)
TWF2	11344	matched_entrez			False	CCLE column TWF2 (11344)
TJP1	7082	matched_entrez			False	CCLE column TJP1 (7082)
MEST	4232	matched_entrez			False	CCLE column MEST (4232)
ALDOC	230	matched_entrez			False	CCLE column ALDOC (230)
KDM5A	5927	matched_entrez			False	CCLE column KDM5A (5927)
RAI14	26064	matched_entrez			False	CCLE column RAI14 (26064)
BIRC2	329	matched_entrez			False	CCLE column BIRC2 (329)
CTSL	1514	matched_entrez			False	CCLE column CTSL (1514)
PAF1	54623	matched_entrez			False	CCLE column PAF1 (54623)
BIRC5	332	matched_entrez			False	CCLE column BIRC5 (332)
RALB	5899	matched_entrez			False	CCLE column RALB (5899)
ARFIP2	23647	matched_entrez			False	CCLE column ARFIP2 (23647)
ARHGAP1	392	matched_entrez			False	CCLE column ARHGAP1 (392)
CPNE3	8895	matched_entrez			False	CCLE column CPNE3 (8895)
ABL1	25	matched_entrez			False	CCLE column ABL1 (25)
TRAK2	66008	matched_entrez			False	CCLE column TRAK2 (66008)
PYCR1	5831	matched_entrez			False	CCLE column PYCR1 (5831)
NUP62	23636	matched_entrez			False	CCLE column NUP62 (23636)
PCM1	5108	matched_entrez			False	CCLE column PCM1 (5108)
BLMH	642	matched_entrez			False	CCLE column BLMH (642)
MVP	9961	matched_entrez			False	CCLE column MVP (9961)
NUP133	55746	matched_entrez			False	CCLE column NUP133 (55746)
PLOD3	8985	matched_entrez			False	CCLE column PLOD3 (8985)
PPP2R5A	5525	matched_entrez			False	CCLE column PPP2R5A (5525)
NUP93	9688	matched_entrez			False	CCLE column NUP93 (9688)
ARL4C	10123	matched_entrez			False	CCLE column ARL4C (10123)
KIAA0907	22889	matched_entrez			False	CCLE column KHDC4 (22889)
CRK	1398	matched_entrez			False	CCLE column CRK (1398)
CHERP	10523	matched_entrez			False	CCLE column CHERP (10523)
PLK1	5347	matched_entrez			False	CCLE column PLK1 (5347)
TRIB1	10221	matched_entrez			False	CCLE column TRIB1 (10221)
CDK4	1019	matched_entrez			False	CCLE column CDK4 (1019)
STXBP1	6812	matched_entrez			False	CCLE column STXBP1 (6812)
VPS72	6944	matched_entrez			False	CCLE column VPS72 (6944)
HSD17B10	3028	matched_entrez			False	CCLE column HSD17B10 (3028)
CDKN1A	1026	matched_entrez			False	CCLE column CDKN1A (1026)
COL1A1	1277	matched_entrez			False	CCLE column COL1A1 (1277)
SENP6	26054	matched_entrez			False	CCLE column SENP6 (26054)
ACBD3	64746	matched_entrez			False	CCLE column ACBD3 (64746)
CSK	1445	matched_entrez			False	CCLE column CSK (1445)
CSNK1E	1454	matched_entrez			False	CCLE column CSNK1E (1454)
TOR1A	1861	matched_entrez			False	CCLE column TOR1A (1861)
TRAM2	9697	matched_entrez			False	CCLE column TRAM2 (9697)
TCEAL4	79921	matched_entrez			False	CCLE column TCEAL4 (79921)
GNPDA1	10007	matched_entrez			False	CCLE column GNPDA1 (10007)
RGS2	5997	matched_entrez			False	CCLE column RGS2 (5997)
ABCF3	55324	matched_entrez			False	CCLE column ABCF3 (55324)
TCERG1	10915	matched_entrez			False	CCLE column TCERG1 (10915)
USP1	7398	matched_entrez			False	CCLE column USP1 (7398)
KEAP1	9817	matched_entrez			False	CCLE column KEAP1 (9817)
KAT6A	7994	matched_entrez			False	CCLE column KAT6A (7994)
MPC2	25874	matched_entrez			False	CCLE column MPC2 (25874)
MYC	4609	matched_entrez			False	CCLE column MYC (4609)
SLC35B1	10237	matched_entrez			False	CCLE column SLC35B1 (10237)
PLSCR1	5359	matched_entrez			False	CCLE column PLSCR1 (5359)
DECR1	1666	matched_entrez			False	CCLE column DECR1 (1666)
ERBB3	2065	matched_entrez			False	CCLE column ERBB3 (2065)
PRSS23	11098	matched_entrez			False	CCLE column PRSS23 (11098)
PAPD7	11044	matched_entrez			False	CCLE column TENT4A (11044)
CTNNAL1	8727	matched_entrez			False	CCLE column CTNNAL1 (8727)
IKBKAP	8518	matched_entrez			False	CCLE column ELP1 (8518)
PPIE	10450	matched_entrez			False	CCLE column PPIE (10450)
DNAJB2	3300	matched_entrez			False	CCLE column DNAJB2 (3300)
SNAP25	6616	matched_entrez			False	CCLE column SNAP25 (6616)
BCL7B	9275	matched_entrez			False	CCLE column BCL7B (9275)
GALE	2582	matched_entrez			False	CCLE column GALE (2582)
HMGCR	3156	matched_entrez			False	CCLE column HMGCR (3156)
PRKCD	5580	matched_entrez			False	CCLE column PRKCD (5580)
VAPB	9217	matched_entrez			False	CCLE column VAPB (9217)
MYLK	4638	matched_entrez			False	CCLE column MYLK (4638)
S100A13	6284	matched_entrez			False	CCLE column S100A13 (6284)
NRIP1	8204	matched_entrez			False	CCLE column NRIP1 (8204)
HTATSF1	27336	matched_entrez			False	CCLE column HTATSF1 (27336)
ADAM10	102	matched_entrez			False	CCLE column ADAM10 (102)
EAPP	55837	matched_entrez			False	CCLE column EAPP (55837)
SERPINE1	5054	matched_entrez			False	CCLE column SERPINE1 (5054)
APPBP2	10513	matched_entrez			False	CCLE column APPBP2 (10513)
TOPBP1	11073	matched_entrez			False	CCLE column TOPBP1 (11073)
POLR2K	5440	matched_entrez			False	CCLE column POLR2K (5440)
ICAM1	3383	matched_entrez			False	CCLE column ICAM1 (3383)
NRAS	4893	matched_entrez			False	CCLE column NRAS (4893)
LPGAT1	9926	matched_entrez			False	CCLE column LPGAT1 (9926)
PSMB10	5699	matched_entrez			False	CCLE column PSMB10 (5699)
SDHB	6390	matched_entrez			False	CCLE column SDHB (6390)
RASA1	5921	matched_entrez			False	CCLE column RASA1 (5921)
GTF2A2	2958	matched_entrez			False	CCLE column GTF2A2 (2958)
NPC1	4864	matched_entrez			False	CCLE column NPC1 (4864)
GTF2E2	2961	matched_entrez			False	CCLE column GTF2E2 (2961)
RNMT	8731	matched_entrez			False	CCLE column RNMT (8731)
